data;nome_oponente;tag_oponente;nivel_oponente;trofes_oponente;clan_oponente;resultado;coroas_jogador;coroas_oponente;mudanca_trofes;modo_jogo;tipo_batalha;arena;deck_jogador;deck_oponente;vezes_enfrentado;elixir_vazado_jogador;elixir_vazado_oponente;nivel_torre_jogador
01/05/2026 22:43;Combatiente;#GRRL9RQ0V;0;0;Los BROS;Derrota;1;2;0;Showdown_Friendly;trail;Legendary Arena;Balloon | Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Skeleton Barrel;Barbarian Barrel | Fireball | Furnace | Ice Spirit | Musketeer | P.E.K.K.A | Royal Ghost | The Log;1;2.04;1.53;0
01/05/2026 22:33;Aldair;#29VP0JVVP;0;0;el Salvador;Vitoria;3;0;0;Showdown_Friendly;trail;Legendary Arena;Balloon | Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Skeleton Barrel;Boss Bandit | Cannon | Dart Goblin | Electro Spirit | Guards | Lumberjack | Princess | The Log;1;0.93;15.53;0
01/05/2026 22:09;FerGood;#8QY9Q8P0;0;13243;Astroboys;Derrota;0;3;-28;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Archers | Executioner | Fireball | Firecracker | Hog Rider | Ice Spirit | Lumberjack | Mini P.E.K.K.A;1;14.45;0.68;0
01/05/2026 21:08;xKnowNamex;#29CJV8Y0P;0;13249;Royale Flush;Derrota;0;1;-30;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Bowler | Executioner | Freeze | Golden Knight | Graveyard | Inferno Dragon | Tornado | Zappies;1;1.78;6.81;0
01/05/2026 21:01;obamna;#8GGPGUYJP;0;13212;Vamp Nation;Vitoria;1;0;28;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Dark Prince | Electro Spirit | Miner | Rocket | Royal Delivery | Skeletons | Tesla | The Log;1;1.82;1.57;0
01/05/2026 20:53;Aguademora;#GYGPP0UG;0;13162;Sem cla;Vitoria;1;0;26;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Barbarian Barrel | Bomb Tower | Dart Goblin | Rascals | Royal Ghost | Skeleton Barrel | Vines | Wall Breakers;1;0.59;4.35;0
01/05/2026 20:43;TOCO;#292U9Q89P;0;13216;N.G.WARRIORS;Derrota;0;3;-31;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Arrows | Bats | Goblin Gang | Mega Knight | Mini P.E.K.K.A | Tesla | Valkyrie | Wizard;1;8.42;2.42;0
01/05/2026 20:37;Izz;#VVUC8Y8;0;13202;Ner Vod;Vitoria;1;0;29;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Arrows | Baby Dragon | Barbarian Barrel | Dark Prince | Fireball | Goblin Drill | Magic Archer | Valkyrie;1;2.1;3.03;0
01/05/2026 20:28;Oh sim!;#YP90V0JR;0;13174;C0naESports;Vitoria;2;1;29;Ladder;PvP;Little Prince's Tavern;Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel;Arrows | Fireball | Firecracker | Fisherman | Giant | Guards | Hunter | Night Witch;1;3.21;1.25;0
01/05/2026 17:54;cristian;#YV8QV9R90;0;13148;floripa br;Vitoria;3;0;30;Ladder;PvP;Little Prince's Tavern;Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel;Arrows | Firecracker | Goblins | Guards | Knight | Mega Knight | Rage | Royal Giant;1;1.08;14.88;0
