player_tag;data;nome_oponente;tag_oponente;nivel_oponente;trofes_oponente;clan_oponente;resultado;coroas_jogador;coroas_oponente;mudanca_trofes;modo_jogo;tipo_batalha;arena;deck_jogador;deck_oponente;vezes_enfrentado;elixir_vazado_jogador;elixir_vazado_oponente;nivel_torre_jogador;vida_torre_rei_jogador;vida_torre_rei_oponente;vida_torres_princesa_jogador;vida_torres_princesa_oponente;trofes_iniciais_jogador;trofes_finais_jogador;posicao_global_jogador;posicao_global_oponente;nivel_torre_oponente;torre_jogador;torre_oponente;elixir_medio_jogador;elixir_medio_oponente;evolucoes_jogador;evolucoes_oponente;nivel_medio_deck_jogador;nivel_medio_deck_oponente;tag_clan_oponente
#2QR292P;14/06/2026 20:49;Zay;#VRV0J90GC;0;13861;Sem cla;Vitoria;3;1;30;Ladder;PvP;Spirit Square;Lumberjack | Balloon | Dark Prince | Minions | Dart Goblin | Barbarian Barrel | Royal Recruits | Tesla;Giant | Skeleton Army | Mini P.E.K.K.A | Zap | Bats | Sparky | Arrows | Minion Horde;1;1.49;1.31;0;4518;0;652;0;13861;13891;N/A;N/A;0;Tower Princess;Tower Princess;4.0;3.75;Lumberjack | Balloon | Dark Prince;Mini P.E.K.K.A;12.88;13.62;
#2QR292P;14/06/2026 20:11;Acey;#2CRRJGV9C;0;13879;U MAD BRO;Derrota;1;2;-31;Ladder;PvP;Spirit Square;Royal Recruits | Magic Archer | Wall Breakers | Minions | Dart Goblin | Skeleton Barrel | Goblin Gang | Arrows;Valkyrie | Goblins | Executioner | Hog Rider | Ice Spirit | Tornado | Rocket | The Log;1;1.38;0.0;0;7688;6804;0;922;13892;13861;N/A;N/A;0;Tower Princess;Tower Princess;3.5;3.38;Royal Recruits | Magic Archer | Wall Breakers;Valkyrie | Goblins | Executioner;14.12;12.88;#8PRQYV0
#2QR292P;14/06/2026 19:59;Sk;#9Y8UV2CC;0;13950;-Royale Family-;Derrota;0;1;-27;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Wizard | Ice Golem | Zap | Inferno Dragon | Ice Wizard | Tornado | Inferno Tower | Hog Rider;1;3.17;13.4;0;7728;7728;3102;4474 | 1206;13919;13892;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.5;Royal Recruits | Balloon | Lumberjack;Wizard | Ice Golem | Zap;13.5;12.38;#2JJJGCCJ
#2220UQQ0UU;14/06/2026 19:40;behi_sh;#20L9YUCJUQ;0;4708;Footballiti;Vitoria;3;0;30;Ladder;PvP;Serenity Peak;Musketeer | Bowler | Knight | Skeletons | Hog Rider | Goblin Barrel | Arrows | Cannon;Furnace | Knight | Skeletons | Mortar | The Log | Elite Barbarians | Mini P.E.K.K.A | Wizard;1;0.58;17.0;0;4824;0;2586 | 3052;0;4697;4727;N/A;N/A;0;Tower Princess;Tower Princess;3.25;3.62;Musketeer | Bowler | Knight;Furnace | Knight | Skeletons;8.88;8.25;#G9P92Y2V
#2220UQQ0UU;14/06/2026 19:37;jack;#VJG0UGQYJ;0;4662;ni mergas;Vitoria;1;0;29;Ladder;PvP;Serenity Peak;Musketeer | Bowler | Knight | Skeletons | Hog Rider | Goblin Barrel | Arrows | Cannon;Wizard | Barbarians | Valkyrie | Goblin Barrel | Baby Dragon | Musketeer | Skeleton Army | Goblin Gang;1;2.17;1.27;0;4824;3895;3052 | 2005;160;4668;4697;N/A;N/A;0;Tower Princess;Tower Princess;3.25;3.88;Musketeer | Bowler | Knight;Wizard | Valkyrie;8.88;7.5;#Y2C2RVL0
#2220UQQ0UU;14/06/2026 19:31;oscrak;#CJ2Y8JP0L;0;4655;los de Culiacán;Vitoria;1;0;31;Ladder;PvP;Serenity Peak;Musketeer | Bowler | Knight | Skeletons | Hog Rider | Goblin Barrel | Arrows | Cannon;Royal Hogs | The Log | Firecracker | Ice Wizard | Mini P.E.K.K.A | Royal Ghost | Skeleton Army | Witch;1;1.54;0.0;0;4602;5304;1852 | 277;2322;4637;4668;N/A;N/A;0;Tower Princess;Tower Princess;3.25;3.5;Musketeer | Bowler | Knight;Firecracker;8.88;6.5;#QR99R8R9
#2220UQQ0UU;14/06/2026 19:24;ivett;#20LJ080809;0;4581;ALV :y;Vitoria;2;1;27;Ladder;PvP;Serenity Peak;Musketeer | Bowler | Knight | Skeletons | Hog Rider | Goblin Barrel | Arrows | Cannon;Archers | Balloon | Giant Snowball | Fireball | Mega Minion | Valkyrie | Inferno Tower | Goblin Gang;1;6.41;1.54;0;3762;4824;512;0;4610;4637;N/A;N/A;0;Tower Princess;Tower Princess;3.25;3.62;Musketeer | Bowler | Knight;Archers | Balloon | Giant Snowball;8.75;8.62;#Y9Y80YRL
#2QR292P;14/06/2026 18:52;chancho porcino;#PQYV2RYRR;0;13883;Syntek Order;Vitoria;1;0;29;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;P.E.K.K.A | Wizard | Skeletons | Hog Rider | Ice Spirit | Electro Wizard | Fireball | Zap;1;5.71;0.53;0;7453;7728;2279 | 4029;3927;13890;13919;N/A;N/A;0;Tower Princess;Dagger Duchess;3.88;3.5;Royal Recruits | Balloon | Lumberjack;P.E.K.K.A | Wizard | Skeletons;13.5;13.62;#GGRU82YP
#2QR292P;14/06/2026 18:40;Diekk;#QYVJVR0Y;0;13851;FOUR CATS;Vitoria;1;0;29;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Executioner | Monk | Mega Minion | Hog Rider | Skeletons | Electro Spirit | Zap | Rocket;1;5.58;10.5;0;7230;7728;2379 | 1211;2046;13861;13890;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.38;Royal Recruits | Balloon | Lumberjack;Executioner | Mega Minion;13.5;13.0;#RL9YPQ0Y
#2QR292P;14/06/2026 15:43;NANZIN;#VGGUGG0U;0;13897;leonardinhoquin;Derrota;2;3;-29;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Baby Dragon | Golden Knight | Inferno Dragon | Lava Hound | Skeletons | Zap | The Log | Ice Wizard;1;1.82;0.89;0;0;5718;0;0;13890;13861;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.38;Royal Recruits | Balloon | Lumberjack;Baby Dragon | Inferno Dragon;13.5;10.12;#GP9UP20Q
#2QR292P;14/06/2026 15:40;Ekhor;#CJQVJJYJ;0;13927;Les vikings;Derrota;0;1;-29;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Executioner | Goblins | Valkyrie | Ice Spirit | Rocket | Hog Rider | Tornado | The Log;1;2.02;3.17;0;7728;6006;4858;4263 | 4468;13919;13890;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.38;Royal Recruits | Balloon | Lumberjack;Executioner | Goblins | Valkyrie;13.5;13.0;#88QLY9Y
#2QR292P;14/06/2026 01:42;ThLi;#JY9RUPRLJ;0;13869;Swedish Legion;Vitoria;1;0;28;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Valkyrie | Ice Golem | Firecracker | Royal Ghost | Skeleton Army | Goblin Gang | Hog Rider | Lumberjack;1;1.25;2.6;0;7728;7262;3010 | 3207;4135;13891;13919;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.25;Royal Recruits | Balloon | Lumberjack;Valkyrie | Ice Golem | Firecracker;13.5;12.62;#Y92U8J9U
#2QR292P;14/06/2026 01:39;Olexandr;#2VU09GPC2;0;13921;441;Derrota;2;3;-30;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Wizard | Mini P.E.K.K.A | Knight | Skeletons | Minion Horde | Sparky | Rage | Freeze;1;8.24;8.91;0;0;119;0;0;13921;13891;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.75;Royal Recruits | Balloon | Lumberjack;Wizard | Mini P.E.K.K.A | Knight;13.5;13.25;#GQVLVRLV
#2QR292P;14/06/2026 01:34;chistian;#9GCQ00RYG;0;13896;BOLIVIA COHA..❣;Vitoria;1;0;30;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Valkyrie | Tesla | Musketeer | Arrows | Electro Spirit | Skeletons | Hog Rider | The Log;1;1.86;0.0;0;7728;5770;547 | 4433;4392;13891;13921;N/A;N/A;0;Tower Princess;Tower Princess;3.88;2.88;Royal Recruits | Balloon | Lumberjack;Valkyrie | Musketeer;13.5;14.0;#YJRQ8YG9
#2QR292P;14/06/2026 01:31;leyla;#VYPP9RVRR;0;13952;Mabi;Derrota;1;3;-27;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Valkyrie | Wizard | Mini P.E.K.K.A | Archers | Goblins | Giant | Bomber | Arrows;1;2.32;0.23;0;0;1259;0;304;13918;13891;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.5;Royal Recruits | Balloon | Lumberjack;Valkyrie | Wizard | Mini P.E.K.K.A;13.5;15.0;#LUPYYU
#2QR292P;14/06/2026 01:05;novato;#LY02Q89CV;0;13921;Taquito;Vitoria;1;0;33;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Mega Knight | Knight | Firecracker | Musketeer | Electro Spirit | Arrows | Skeletons | Hog Rider;1;1.71;2.0;0;7524;7728;562 | 1855;385;13885;13918;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.25;Royal Recruits | Balloon | Lumberjack;Mega Knight | Knight | Firecracker;13.5;14.5;#8QV828CG
#2QR292P;14/06/2026 00:57;CHAOS;#YQQ8GQR8;0;13892;Sem cla;Vitoria;3;2;33;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Mega Knight | Mini P.E.K.K.A | Skeleton Barrel | Witch | Hog Rider | Electro Wizard | Furnace | Arrows;1;1.03;0.53;0;1617;0;0;0;13852;13885;N/A;N/A;0;Tower Princess;Tower Princess;3.88;4.25;Royal Recruits | Balloon | Lumberjack;Mega Knight | Mini P.E.K.K.A | Skeleton Barrel;13.5;12.62;
#2QR292P;13/06/2026 15:24;Mamma pig;#R8Y8VP2J9;0;13844;AWOOGA;Vitoria;2;0;32;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Dart Goblin | Mega Knight | Witch | Suspicious Bush | Arrows | Zap | Cannon | Skeletons;1;1.52;16.41;0;7728;6806;4618 | 2261;0;13820;13852;N/A;N/A;0;Tower Princess;Tower Princess;3.88;3.25;Royal Recruits | Balloon | Lumberjack;Dart Goblin | Witch;13.5;13.88;#QUU0Q099
#2QR292P;13/06/2026 15:20;ander♡;#CVYVCJCCQ;0;13805;#HouseOfDragons;Vitoria;1;0;31;Ladder;PvP;Spirit Square;Royal Recruits | Balloon | Lumberjack | Minions | Dart Goblin | Barbarian Barrel | Goblin Gang | Tesla;Firecracker | Valkyrie | Mega Knight | Minion Horde | Fireball | The Log | Prince | Bandit;1;1.22;4.59;0;7260;7728;3056 | 387;455;13789;13820;N/A;N/A;0;Tower Princess;Tower Princess;3.88;4.12;Royal Recruits | Balloon | Lumberjack;Firecracker | Mega Knight;13.5;11.62;#QRRQP2YG
