data_coleta;dia_batalha;conta_tipo;posicao;clan_nome;clan_tag;fama_atual;pontos_reparo;finalizado;pontos_periodo
2026-06-12;Dia 1;secundaria;5;양지중11;#R9UCJ9Y8;0;0;Não;0
2026-06-12;Dia 1;secundaria;4;pichulotote;#RJ80U9R9;0;0;Não;0
2026-06-12;Dia 1;secundaria;3;bludíci;#RQ9Q9UR8;0;0;Não;0
2026-06-12;Dia 1;secundaria;2;Brick Bronze;#G0Y8CCP0;0;0;Não;0
2026-06-12;Dia 1;secundaria;1;BLACK「DR4GON;#R0JVY98R;6236;0;Não;200
2026-06-12;Dia 1;principal;5;Tropa Do Bruxo;#QCLPL9VQ;512;0;Não;850
2026-06-12;Dia 1;principal;4;28 royale 29;#LLJPJ2JQ;784;0;Não;2200
2026-06-12;Dia 1;principal;3;Orcos Samurai;#YYG9V0VC;1179;0;Não;4250
2026-06-12;Dia 1;principal;2;IRAN SOLID;#99V9V22C;1968;0;Não;6900
2026-06-12;Dia 1;principal;1;peru;#GR8UGRVJ;3239;0;Não;3850
2026-06-11;Reset;secundaria;5;양지중11;#R9UCJ9Y8;0;0;Não;0
2026-06-11;Reset;secundaria;4;pichulotote;#RJ80U9R9;0;0;Não;0
2026-06-11;Reset;secundaria;3;bludíci;#RQ9Q9UR8;0;0;Não;0
2026-06-11;Reset;secundaria;2;Brick Bronze;#G0Y8CCP0;0;0;Não;0
2026-06-11;Reset;secundaria;1;BLACK「DR4GON;#R0JVY98R;6236;0;Não;200
2026-06-11;Reset;principal;5;Tropa Do Bruxo;#QCLPL9VQ;1243;0;Não;850
2026-06-11;Reset;principal;4;IRAN SOLID;#99V9V22C;3088;0;Não;2700
2026-06-11;Reset;principal;3;28 royale 29;#LLJPJ2JQ;4145;0;Não;5200
2026-06-11;Reset;principal;2;Orcos Samurai;#YYG9V0VC;4691;0;Não;3150
2026-06-11;Reset;principal;1;peru;#GR8UGRVJ;8048;0;Não;3300
2026-06-10;Reset;secundaria;5;양지중11;#R9UCJ9Y8;0;0;Não;0
2026-06-10;Reset;secundaria;4;pichulotote;#RJ80U9R9;0;0;Não;0
2026-06-10;Reset;secundaria;3;bludíci;#RQ9Q9UR8;0;0;Não;0
2026-06-10;Reset;secundaria;2;Brick Bronze;#G0Y8CCP0;0;0;Não;0
2026-06-10;Reset;secundaria;1;BLACK「DR4GON;#R0JVY98R;6236;0;Não;200
2026-06-10;Reset;principal;5;Tropa Do Bruxo;#QCLPL9VQ;1243;0;Não;850
2026-06-10;Reset;principal;4;IRAN SOLID;#99V9V22C;3088;0;Não;2700
2026-06-10;Reset;principal;3;28 royale 29;#LLJPJ2JQ;4145;0;Não;5200
2026-06-10;Reset;principal;2;Orcos Samurai;#YYG9V0VC;4691;0;Não;3150
2026-06-10;Reset;principal;1;peru;#GR8UGRVJ;8048;0;Não;3300
2026-06-07;Dia 3;secundaria;5;양지중11;#R9UCJ9Y8;0;0;Não;0
2026-06-07;Dia 3;secundaria;4;pichulotote;#RJ80U9R9;0;0;Não;0
2026-06-07;Dia 3;secundaria;3;bludíci;#RQ9Q9UR8;0;0;Não;0
2026-06-07;Dia 3;secundaria;2;Brick Bronze;#G0Y8CCP0;0;0;Não;0
2026-06-07;Dia 3;secundaria;1;BLACK「DR4GON;#R0JVY98R;6236;0;Não;200
2026-06-07;Dia 3;principal;5;Tropa Do Bruxo;#QCLPL9VQ;1243;0;Não;850
2026-06-07;Dia 3;principal;4;IRAN SOLID;#99V9V22C;3088;0;Não;2700
2026-06-07;Dia 3;principal;3;28 royale 29;#LLJPJ2JQ;4145;0;Não;5200
2026-06-07;Dia 3;principal;2;Orcos Samurai;#YYG9V0VC;4691;0;Não;3150
2026-06-07;Dia 3;principal;1;peru;#GR8UGRVJ;8048;0;Não;3300
2026-06-06;Dia 2;secundaria;5;양지중11;#R9UCJ9Y8;0;0;Não;0
2026-06-06;Dia 2;secundaria;4;pichulotote;#RJ80U9R9;0;0;Não;0
2026-06-06;Dia 2;secundaria;3;bludíci;#RQ9Q9UR8;0;0;Não;0
2026-06-06;Dia 2;secundaria;2;Brick Bronze;#G0Y8CCP0;0;0;Não;0
2026-06-06;Dia 2;secundaria;1;BLACK「DR4GON;#R0JVY98R;3177;0;Não;750
2026-06-06;Dia 2;principal;5;Tropa Do Bruxo;#QCLPL9VQ;843;0;Não;900
2026-06-06;Dia 2;principal;4;28 royale 29;#LLJPJ2JQ;2345;0;Não;4700
