data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
29/04/2026 18:27,sir maximus,#P9R9QPJV0,0,12905,QC,defeat,0,1,-33,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel,Baby Dragon | Dark Prince | Elite Barbarians | Hunter | Rage | Skeleton Army | The Log | Valkyrie,1
29/04/2026 17:23,RODMAN,#GY2GCVVP,0,0,The Legendary,victory,1,0,0,FloodHounds_Draft,trail,Fisherman's Float,Inferno Dragon | Lava Hound | Minion Horde | Minions | Phoenix | Rocket | Skeleton Dragons | Void,Arrows | Baby Dragon | Balloon | Bats | Electro Dragon | Flying Machine | Lightning | Mega Minion,1
29/04/2026 12:45,Azīz,#29RCLJYQC,0,0,KSA السعودية,defeat,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Cannon Cart | Furnace | Giant Skeleton | Hog Rider | Lumberjack | Mirror | Rascals,Arrows | Bats | Electro Dragon | Hog Rider | Mega Knight | Prince | Tornado | Witch,1
28/04/2026 19:58,Boruto Uzumaki,#2YL98GC8R,11,0,No Clan,defeat,0,1,0,1v1 Showdown,friendly,Legendary Arena,Evolved Royal Hogs | Golden Knight | Evolved Tesla | Dark Prince | Skeletons | The Log | Lightning | Electro Spirit,Evolved Furnace | Little Prince | Evolved Cannon | Electro Spirit | Hog Rider | Lightning | Giant Skeleton | The Log,2
28/04/2026 18:52,Toumohito,#9UPPJ9J29,15,12895,Kakumei,victory,1,0,28,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeleton Barrel | Mighty Miner | Dart Goblin | Lightning | Minions | Goblin Gang,Royal Ghost | Golden Knight | Battle Ram | P.E.K.K.A | Electro Wizard | Bandit | Fireball | Zap,2
28/04/2026 18:48,daniel_wrld08,#9QV0URJJG,16,12951,Guanacaste CR,defeat,1,2,-29,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Mega Knight | Little Prince | Evolved Dart Goblin | Miner | Bats | Skeleton Barrel | Goblin Gang | Zap,2
28/04/2026 18:36,Chagus21,#YYJRYGJRY,16,12892,Clan Arg,victory,1,0,27,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Mother Witch | Little Prince | Evolved Firecracker | The Log | Zappies | Skeleton Barrel | Mighty Miner | Tombstone,2
28/04/2026 18:23,VINI,#2JP8VQVC2,11,0,No Clan,defeat,0,1,0,1v1 Showdown,friendly,Legendary Arena,Evolved Royal Hogs | Golden Knight | Evolved Tesla | Dark Prince | Skeletons | The Log | Lightning | Electro Spirit,Evolved Skeletons | Battle Healer | Evolved Mortar | Knight | Barbarian Barrel | Skeletons | Minions | Fireball,2
28/04/2026 11:22,optimus270308,#Y0CUGG80P,15,12890,Unit 4,victory,2,1,30,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Ice Wizard | Golden Knight | Evolved Valkyrie | Tornado | Balloon | Tesla | Bats | Arrows,2
28/04/2026 10:38,Luiz03br mp,#JLJ8YV99,15,12929,BRASIL WAR,defeat,0,3,-28,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Firecracker | Goblin Gang | Evolved Valkyrie | Hog Rider | Inferno Tower | Goblin Barrel | The Log | Electro Wizard,2
28/04/2026 09:58,Gyubin,#VRJ0UUGUR,16,12895,Team Korea,victory,1,0,30,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Goblin Giant | Golden Knight | Evolved Royal Recruits | Flying Machine | Fireball | Zappies | Arrows | Royal Hogs,2
27/04/2026 22:25,EDWIN,#92G8VV82R,11,0,No Clan,victory,1,0,0,Take To The Skies,Special Event,Event Arena,Skeleton Dragons | Arrows | Lightning | Evolved Minions | Lava Hound | Minions | Phoenix | Flying Machine,Inferno Dragon | Mega Minion | Bats | Balloon | Evolved Baby Dragon | Rocket | Void | Electro Dragon,2
27/04/2026 22:19,cplemons,#RVVPG2RUU,15,12822,No Clan,victory,2,0,26,Ladder,ladder,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Knight | Sparky | Evolved Tesla | Cannon | Rage | Fireball | Elite Barbarians | Skeletons,2
