Ranking;Cla;Jogador;Lutou_Hoje;Ataques_Feitos;Fama_Hoje;Deck_1;Deck_2;Deck_3;Deck_4
1;macondo;SLIMCIRE;Sim;4/4;1700;Barbarian Barrel, Dart Goblin, Furnace, Goblin Drill, Inferno Dragon, Poison, Skeleton King, Wall Breakers;Arrows, Baby Dragon, Earthquake, Firecracker, Guards, Mini P.E.K.K.A, Minions, Royal Giant;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;macondo;Parce lero;Sim;4/4;1500;Arrows, Goblin Cage, Goblin Gang, Minions, P.E.K.K.A, Poison, Royal Ghost, Wizard;Barbarian Barrel, Bomb Tower, Firecracker, Giant, Guards, Lightning, Prince, Witch;Baby Dragon, Executioner, Fireball, Goblin Barrel, Inferno Tower, Knight, Mega Knight, Musketeer;Barbarians, Dart Goblin, Flying Machine, Giant Skeleton, Magic Archer, Rocket, The Log, Valkyrie
3;macondo;mantis;Sim;4/4;1300;Balloon, Elite Barbarians, Executioner, Flying Machine, Knight, Lightning, Lumberjack, Zap;Arrows, Baby Dragon, Battle Ram, Fireball, Mini P.E.K.K.A, Royal Delivery, Royal Recruits, Wizard;Dark Prince, Mega Knight, Minions, Tesla, The Log, Valkyrie, Vines, Witch;Barbarian Barrel, Barbarians, Firecracker, Giant, Golden Knight, Inferno Tower, Musketeer, Rocket
4;macondo;reveis;Sim;4/4;1200;Baby Dragon, Fireball, Goblin Cage, Magic Archer, Mega Knight, Musketeer, Royal Delivery, Royal Ghost;Arrows, Earthquake, Executioner, Golden Knight, Inferno Tower, Lumberjack, Royal Recruits, Valkyrie;Barbarians, Bats, Flying Machine, Giant Skeleton, Poison, Royal Hogs, The Log, Witch;Barbarian Barrel, Elite Barbarians, Firecracker, Guards, Knight, Lightning, Tesla, Wizard
5;macondo;gaston;Sim;4/4;1100;Arrows, Baby Dragon, Freeze, Knight, Magic Archer, Musketeer, Royal Recruits, Skeleton Barrel;Bandit, Fireball, Firecracker, Giant Skeleton, Inferno Tower, Royal Ghost, Witch, Zap;Elite Barbarians, Guards, Lightning, Monk, Tesla, The Log, Valkyrie, Wizard;Barbarian Barrel, Barbarians, Elixir Golem, Executioner, Flying Machine, Inferno Dragon, Mini P.E.K.K.A, Poison
1;NORD DE FRANCE;jojo;Sim;4/4;1600;Archer Queen, Archers, Goblin Barrel, Musketeer, P.E.K.K.A, Princess, Skeleton Army, Valkyrie;Balloon, Barbarian Barrel, Dart Goblin, Goblin Gang, Golden Knight, Mini P.E.K.K.A, Prince, Wizard;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;NORD DE FRANCE;WarZouZ;Sim;4/4;1450;Baby Dragon, Cannon Cart, Fireball, Firecracker, Golden Knight, Guards, Ice Wizard, Knight;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;NORD DE FRANCE;samy;Sim;4/4;1400;Electro Wizard, Goblins, Hog Rider, Mini P.E.K.K.A, Spear Goblins, Wall Breakers, Witch, Zap;Balloon, Bomber, Bowler, Giant Snowball, Goblin Barrel, Goblin Curse, Goblin Gang, Magic Archer;Balloon, Bomber, Bowler, Elite Barbarians, Giant Snowball, Goblin Curse, Goblin Gang, Magic Archer;Archer Queen, Arrows, Barbarian Barrel, Firecracker, Knight, Mega Knight, Night Witch, Rage
4;NORD DE FRANCE;depeche mode;Sim;4/4;1400;Electro Dragon, Fireball, Goblins, Mega Knight, Princess, Royal Giant, Royal Hogs, Zappies;Dart Goblin, Electro Wizard, Elixir Golem, Executioner, Freeze, Furnace, Royal Ghost, Skeleton Dragons;Bowler, Firecracker, Flying Machine, Goblin Gang, Magic Archer, Prince, Ram Rider, Tombstone;Baby Dragon, Hog Rider, Inferno Tower, Rage, Skeleton Army, Valkyrie, Witch, Wizard
5;NORD DE FRANCE;scalpex;Sim;4/4;1350;Archers, Bats, Electro Giant, Electro Wizard, Fireball, Goblin Barrel, Little Prince, Mini P.E.K.K.A;Arrows, Baby Dragon, Cannon, Inferno Dragon, Knight, Miner, Royal Giant, Skeleton Army;Deck nao encontrado no log recente;Deck nao encontrado no log recente
