data_coleta;clan_posicao;clan_nome;clan_tag;clan_fame;player_posicao;player_nome;player_tag;player_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo
2026-05-15;1;абвгд;#QUGULGYC;0;1;унечтожитль3000;#VVL8JC9JP;0;0;0;;;;;;;;
2026-05-15;1;абвгд;#QUGULGYC;0;2;kiki;#RU98RVQY9;0;0;0;;;;;;;;
2026-05-15;2;kids with needs;#GL980GCG;0;1;kaffr_d00dmaker;#20Y0U9JLPP;0;0;0;;;;;;;;
2026-05-15;2;kids with needs;#GL980GCG;0;2;xXStilesXx;#CVJCYC90P;0;0;0;;;;;;;;
2026-05-15;2;kids with needs;#GL980GCG;0;3;dukstukfrik;#20YUCL8YQ2;0;0;0;;;;;;;;
2026-05-15;3;BLACK「DR4GON;#R0JVY98R;0;1;AXEL;#20C2GJPJPJ;0;0;0;;;;;;;;
2026-05-15;3;BLACK「DR4GON;#R0JVY98R;0;2;patrick grauu;#228JP9RULY;0;0;0;;;;;;;;
2026-05-15;3;BLACK「DR4GON;#R0JVY98R;0;3;montapuerco3000;#2289VUPC0Y;0;0;0;;;;;;;;
2026-05-15;3;BLACK「DR4GON;#R0JVY98R;0;4;ilovepavlys;#209Q8C099J;0;0;0;;;;;;;;
2026-05-15;3;BLACK「DR4GON;#R0JVY98R;0;5;gabriel;#228UPJCV9R;0;0;0;;;;;;;;
2026-05-15;4;Babayaga;#R8JUVGPP;0;1;Desëni;#V0QLPL9L9;0;0;0;;;;;;;;
2026-05-15;4;Babayaga;#R8JUVGPP;0;2;lindi777;#JR29U0CU8;0;0;0;;;;;;;;
2026-05-15;4;Babayaga;#R8JUVGPP;0;3;General Jani;#PV0RCRC0;0;0;0;;;;;;;;
2026-05-15;4;Babayaga;#R8JUVGPP;0;4;Mato;#VR2CLUJ82;0;0;0;;;;;;;;
2026-05-15;4;Babayaga;#R8JUVGPP;0;5;OP-OP-GAXHET;#PQ09YUYPY;0;0;0;;;;;;;;
2026-05-15;5;красная месть!;#RUQJ0LLG;0;1;vaska;#VLR2QCUJ8;0;0;0;;;;;;;;
2026-05-15;5;красная месть!;#RUQJ0LLG;0;2;mister_fish;#UPUVLLRPY;0;0;0;;;;;;;;
2026-05-15;5;красная месть!;#RUQJ0LLG;0;3;клубника;#JL2Q02JG0;0;0;0;;;;;;;;
2026-05-15;5;красная месть!;#RUQJ0LLG;0;4;voroninvr;#JGGQVGPU;0;0;0;;;;;;;;
2026-05-15;5;красная месть!;#RUQJ0LLG;0;5;nikitka-$$$;#VPYJLVQ2Q;0;0;0;;;;;;;;
