Ranking;Cla;Jogador;Lutou_Hoje;Ataques_Feitos;Fama_Hoje;Deck_1;Deck_2;Deck_3;Deck_4
1;абвгд;унечтожитль3000;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;абвгд;kiki;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;kids with needs;kaffr_d00dmaker;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;kids with needs;xXStilesXx;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;kids with needs;dukstukfrik;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;BLACK「DR4GON;ツ ΔЯ₡ΛↁЄ ☯︎ ㋡ ツ;Sim;4/4;1300;Barbarians, Bomb Tower, Bomber, Fire Spirit, Goblins, Rocket, Skeleton Dragons, Wizard;Barbarians, Bomb Tower, Bomber, Fire Spirit, Goblins, Mega Minion, Spear Goblins, Wizard;Battle Ram, Flying Machine, Goblin Cage, Goblin Hut, Mini P.E.K.K.A, Minions, Mortar, Musketeer;Archers, Arrows, Cannon, Electro Spirit, Giant, Knight, Skeletons, Valkyrie
2;BLACK「DR4GON;Hellboy01;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;BLACK「DR4GON;natan;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;BLACK「DR4GON;sarah maximo;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;BLACK「DR4GON;Marcus;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Babayaga;OP-OP-GAXHET;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Babayaga;Mato;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Babayaga;Desëni;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Babayaga;General Jani;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;Babayaga;lindi777;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;красная месть!;TBou_Z9ITek;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;красная месть!;nikitka-$$$;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;красная месть!;voroninvr;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;красная месть!;клубника;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;красная месть!;mister_fish;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
