data_coleta;dia_batalha;conta_tipo;posicao;clan_nome;clan_tag;fama_atual;pontos_reparo;finalizado;pontos_periodo
2026-05-24;Dia 3;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-24;Dia 3;secundaria;4;Babayaga;#R8JUVGPP;0;0;Não;0
2026-05-24;Dia 3;secundaria;3;kids with needs;#GL980GCG;0;0;Não;0
2026-05-24;Dia 3;secundaria;2;абвгд;#QUGULGYC;0;0;Não;0
2026-05-24;Dia 3;secundaria;1;BLACK「DR4GON;#R0JVY98R;6486;0;Não;750
2026-05-24;Dia 3;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-24;Dia 3;principal;4;Tropa Do Bruxo;#QCLPL9VQ;2294;0;Não;0
2026-05-24;Dia 3;principal;3;Perú;#QG9G9JCG;3919;0;Não;0
2026-05-24;Dia 3;principal;2;ScdSqd;#90P2LL8Y;5430;0;Não;900
2026-05-24;Dia 3;principal;1;Таллинн рулит;#2YUCYQPC;9878;0;Não;1450
2026-05-23;Dia 2;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-23;Dia 2;secundaria;4;Babayaga;#R8JUVGPP;0;0;Não;0
2026-05-23;Dia 2;secundaria;3;kids with needs;#GL980GCG;0;0;Não;0
2026-05-23;Dia 2;secundaria;2;абвгд;#QUGULGYC;0;0;Não;0
2026-05-23;Dia 2;secundaria;1;BLACK「DR4GON;#R0JVY98R;6486;0;Não;750
2026-05-23;Dia 2;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-23;Dia 2;principal;4;Tropa Do Bruxo;#QCLPL9VQ;1604;0;Não;1100
2026-05-23;Dia 2;principal;3;Perú;#QG9G9JCG;2119;0;Não;3225
2026-05-23;Dia 2;principal;2;ScdSqd;#90P2LL8Y;4287;0;Não;2200
2026-05-23;Dia 2;principal;1;Таллинн рулит;#2YUCYQPC;6603;0;Não;6650
2026-05-22;Dia 1;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-22;Dia 1;secundaria;4;Babayaga;#R8JUVGPP;0;0;Não;0
2026-05-22;Dia 1;secundaria;3;kids with needs;#GL980GCG;0;0;Não;0
2026-05-22;Dia 1;secundaria;2;абвгд;#QUGULGYC;0;0;Não;0
2026-05-22;Dia 1;secundaria;1;BLACK「DR4GON;#R0JVY98R;3243;0;Não;200
2026-05-22;Dia 1;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-22;Dia 1;principal;4;Tropa Do Bruxo;#QCLPL9VQ;802;0;Não;1750
2026-05-22;Dia 1;principal;3;Perú;#QG9G9JCG;1114;0;Não;3600
2026-05-22;Dia 1;principal;2;ScdSqd;#90P2LL8Y;2223;0;Não;2550
2026-05-22;Dia 1;principal;1;Таллинн рулит;#2YUCYQPC;3328;0;Não;5250
2026-05-21;Reset;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-21;Reset;secundaria;4;Babayaga;#R8JUVGPP;0;0;Não;0
2026-05-21;Reset;secundaria;3;BLACK「DR4GON;#R0JVY98R;0;0;Não;500
2026-05-21;Reset;secundaria;2;kids with needs;#GL980GCG;0;0;Não;0
2026-05-21;Reset;secundaria;1;абвгд;#QUGULGYC;0;0;Não;0
2026-05-21;Reset;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;0
2026-05-21;Reset;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;0
2026-05-21;Reset;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-21;Reset;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-21;Reset;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;0
2026-05-21;Reset;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;0
2026-05-21;Reset;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;0
2026-05-21;Reset;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;0
2026-05-21;Reset;principal;1;Perú;#QG9G9JCG;0;0;Não;0
2026-05-21;Reset;principal;1;Perú;#QG9G9JCG;0;0;Não;0
2026-05-18;Reset;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;0
2026-05-18;Reset;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;0
2026-05-18;Reset;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-18;Reset;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-18;Reset;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;0
2026-05-18;Reset;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;0
2026-05-18;Reset;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;0
2026-05-18;Reset;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;0
2026-05-18;Reset;principal;1;Perú;#QG9G9JCG;0;0;Não;0
2026-05-18;Reset;principal;1;Perú;#QG9G9JCG;0;0;Não;0
2026-05-17;Dia 4;principal;5;Peruvian;#G8P20CCY;800;0;Não;0
2026-05-17;Dia 4;principal;4;Tropa Do Bruxo;#QCLPL9VQ;1800;0;Não;2650
2026-05-17;Dia 4;principal;3;Perú;#QG9G9JCG;4342;0;Não;4700
2026-05-17;Dia 4;principal;2;ScdSqd;#90P2LL8Y;7375;0;Não;3000
2026-05-17;Dia 4;principal;1;Таллинн рулит;#2YUCYQPC;7422;0;Não;4800
2026-05-16;Dia 3;principal;5;Peruvian;#G8P20CCY;400;0;Não;75
2026-05-16;Dia 3;principal;4;Tropa Do Bruxo;#QCLPL9VQ;1200;0;Não;700
2026-05-16;Dia 3;principal;3;Perú;#QG9G9JCG;3264;0;Não;3025
2026-05-16;Dia 3;principal;2;ScdSqd;#90P2LL8Y;4351;0;Não;4950
2026-05-16;Dia 3;principal;1;Таллинн рулит;#2YUCYQPC;5453;0;Não;3175
2026-05-15;Dia 2;principal;5;Peruvian;#G8P20CCY;0;0;Não;200
2026-05-15;Dia 2;principal;4;Tropa Do Bruxo;#QCLPL9VQ;600;0;Não;1150
2026-05-15;Dia 2;principal;3;Perú;#QG9G9JCG;1277;0;Não;2575
2026-05-15;Dia 2;principal;2;Таллинн рулит;#2YUCYQPC;2153;0;Não;4725
2026-05-15;Dia 2;principal;1;ScdSqd;#90P2LL8Y;3275;0;Não;2375
2026-05-14;Dia 1;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;4450
2026-05-14;Dia 1;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-14;Dia 1;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;800
2026-05-14;Dia 1;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;4675
2026-05-14;Dia 1;principal;1;Perú;#QG9G9JCG;0;0;Não;725
2026-05-11;Reset;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;0
2026-05-11;Reset;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-11;Reset;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;0
2026-05-11;Reset;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;0
2026-05-11;Reset;principal;1;Perú;#QG9G9JCG;0;0;Não;0
2026-05-10;Dia 4;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-10;Dia 4;principal;4;Tropa Do Bruxo;#QCLPL9VQ;3000;0;Não;800
2026-05-10;Dia 4;principal;3;Perú;#QG9G9JCG;4128;0;Não;4000
2026-05-10;Dia 4;principal;2;ScdSqd;#90P2LL8Y;4152;0;Não;2750
2026-05-10;Dia 4;principal;1;Таллинн рулит;#2YUCYQPC;9875;0;Não;3500
2026-05-09;Dia 3;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-09;Dia 3;principal;4;ScdSqd;#90P2LL8Y;2329;0;Não;1300
2026-05-09;Dia 3;principal;3;Tropa Do Bruxo;#QCLPL9VQ;2400;0;Não;800
2026-05-09;Dia 3;principal;2;Perú;#QG9G9JCG;2960;0;Não;600
2026-05-09;Dia 3;principal;1;Таллинн рулит;#2YUCYQPC;6665;0;Não;3675
2026-05-08;Dia 2;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-08;Dia 2;principal;4;Perú;#QG9G9JCG;880;0;Não;0
2026-05-08;Dia 2;principal;3;ScdSqd;#90P2LL8Y;1275;0;Não;600
2026-05-08;Dia 2;principal;2;Tropa Do Bruxo;#QCLPL9VQ;1800;0;Não;400
2026-05-08;Dia 2;principal;1;Таллинн рулит;#2YUCYQPC;3412;0;Não;975
2026-05-07;Dia 1;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;5300
2026-05-07;Dia 1;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-07;Dia 1;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;2300
2026-05-07;Dia 1;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;700
2026-05-07;Dia 1;principal;1;Perú;#QG9G9JCG;0;0;Não;1650
2026-05-04;Reset;principal;5;Таллинн рулит;#2YUCYQPC;0;0;Não;0
2026-05-04;Reset;principal;4;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-04;Reset;principal;3;Tropa Do Bruxo;#QCLPL9VQ;0;0;Não;0
2026-05-04;Reset;principal;2;ScdSqd;#90P2LL8Y;0;0;Não;0
2026-05-04;Reset;principal;1;Perú;#QG9G9JCG;0;0;Não;0
2026-05-03;Dia 4;principal;5;Tropa Do Bruxo;#QCLPL9VQ;4800;0;Não;0
2026-05-03;Dia 4;principal;4;Critical THC;#R0VJUCJP;15850;0;Não;0
2026-05-03;Dia 4;principal;3;cymru warriors;#GPQYCUCU;30450;0;Não;0
2026-05-03;Dia 4;principal;2;macondo;#LLCCRCL0;31250;0;Não;0
2026-05-03;Dia 4;principal;1;NORD DE FRANCE;#QR889RG0;39300;0;Não;0
2026-05-02;Dia 3;principal;5;Tropa Do Bruxo;#QCLPL9VQ;3700;0;Não;0
2026-05-02;Dia 3;principal;4;Critical THC;#R0VJUCJP;12450;0;Não;0
2026-05-02;Dia 3;principal;3;cymru warriors;#GPQYCUCU;23600;0;Não;0
2026-05-02;Dia 3;principal;2;macondo;#LLCCRCL0;26750;0;Não;0
2026-05-02;Dia 3;principal;1;NORD DE FRANCE;#QR889RG0;31900;0;Não;0
2026-05-01;Dia 2;principal;5;Tropa Do Bruxo;#QCLPL9VQ;2300;0;Não;0
2026-05-01;Dia 2;principal;4;Critical THC;#R0VJUCJP;7800;0;Não;0
2026-05-01;Dia 2;principal;3;macondo;#LLCCRCL0;13400;0;Não;0
2026-05-01;Dia 2;principal;2;cymru warriors;#GPQYCUCU;15800;0;Não;0
2026-05-01;Dia 2;principal;1;NORD DE FRANCE;#QR889RG0;19650;0;Não;0
