data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
2026-04-24 21:17:41,Duduzin;),#89U2YVLY,15,12059,BRZ Esports,victory,1,0,+0.12,Ramp Up Battle,specialEvent,Legendary Arena,Evolved Goblin Giant | Archer Queen | Evolved Skeletons | Royal Hogs | Electro Giant | Barbarian Barrel | Poison | Graveyard,Evolved Firecracker | The Log | Evolved P.E.K.K.A | Tesla | Hog Rider | Fireball | Ice Spirit | Ice Golem,1
2026-04-27 00:22:41,DUXY,#CJ9VCLV22,15,0,Biscochos,victory,3,0,+0.25,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Firecracker | Barbarian Barrel | Evolved P.E.K.K.A | Cannon | Wall Breakers | Bomber | Bandit | Arrows,1
2026-04-27 00:26:41,Kaz,#22YLRUR0R,15,0,504Saints,defeat,0,1,+0.75,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Goblin Giant | Archer Queen | Evolved Goblin Drill | Arrows | Barbarian Barrel | Heal Spirit | Bats | Valkyrie,1
2026-04-27 00:29:41,jirem,#9P8CYGUVY,15,0,Madeiros,victory,3,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Mother Witch | Monk | Evolved Royal Hogs | Mega Knight | Night Witch | Rage | Goblin Demolisher | Electro Wizard,1
2026-04-27 00:36:41,♡Yuka♡,#89PLP99U8,15,0,japan,defeat,0,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Valkyrie | Skeleton King | Evolved Ice Wizard | Tesla | Guards | Electro Wizard | Arrows | Lightning,1
2026-04-27 00:50:41,Kael,#VGGJ82PGQ,15,0,A Horda,victory,1,0,+0.12,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Firecracker | Little Prince | Evolved P.E.K.K.A | Cannon | Wall Breakers | Bats | Arrows | The Log,1
2026-04-27 01:00:41,LOTSO,#VUJJYUGL,15,0,tutgang,defeat,0,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Bomber | Royal Delivery | Evolved Tesla | Dark Prince | Mighty Miner | Rocket | Electro Spirit | The Log,1
2026-04-27 01:05:41,❄️ BELL CRANEL ❄️,#CQVQJ0CP0,15,0,Carrascos CBM,defeat,0,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved P.E.K.K.A | Golden Knight | Evolved Royal Recruits | Mirror | Giant Skeleton | Electro Spirit | Zap | Bats,Evolved Cannon | Battle Healer | Evolved Royal Recruits | Goblin Gang | Ice Spirit | Arrows | Mini P.E.K.K.A | Electro Dragon,1
2026-04-27 01:10:41,クッピー,#Y009V9PLL,15,0,脱パチンコをクラロワで行う会,defeat,0,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved Mega Knight | Golden Knight | Evolved Royal Recruits | Goblin Gang | Dart Goblin | Minions | Lumberjack | Skeleton Barrel,Evolved Ice Spirit | Battle Healer | Evolved Cannon | Ice Golem | Hog Rider | Giant Skeleton | The Log | Fireball,1
2026-04-27 23:27:17,あるふぁ／alpha ☆,#PPLCQP0JG,15,0,ゴブリン薬局,defeat,0,2,+0.38,Ranked,pathOfLegend,Legendary Arena,Evolved Mega Knight | Golden Knight | Evolved Royal Recruits | Goblin Gang | Dart Goblin | Minions | Fireball | Skeleton Barrel,Evolved Skeletons | Little Prince | Evolved Dart Goblin | Giant Skeleton | Goblin Hut | Fire Spirit | Princess | The Log,1
2026-04-27 23:31:22,MIGUEL CR,#C980CJU2P,15,0,Alhenita core,defeat,0,1,0.00,Ranked,pathOfLegend,Legendary Arena,Evolved Royal Recruits | Golden Knight | Evolved Skeletons | Goblins | Dart Goblin | Lightning | Minions | Goblin Gang,Evolved Valkyrie | Fire Spirit | Evolved Goblin Gang | Princess | Inferno Tower | The Log | Skeleton Army | Rocket,1
