data;nome_oponente;tag_oponente;nivel_oponente;trofes_oponente;clan_oponente;resultado;coroas_jogador;coroas_oponente;mudanca_trofes;modo_jogo;tipo_batalha;arena;deck_jogador;deck_oponente;vezes_enfrentado;elixir_vazado_jogador;elixir_vazado_oponente;nivel_torre_jogador;vida_torre_rei_jogador;vida_torre_rei_oponente;vida_torres_princesa_jogador;vida_torres_princesa_oponente;trofes_iniciais_jogador;trofes_finais_jogador;posicao_global_jogador;posicao_global_oponente;nivel_torre_oponente
02/05/2026 00:56;BLACK PEARL;#LYQ9VG99;0;13201;north indiana;Derrota;0;3;-27;Ladder;PvP;Little Prince's Tavern;Fireball | Goblin Gang | Goblins | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers;Boss Bandit | Inferno Dragon | Mega Knight | Minions | Royal Ghost | Skeletons | Witch | Zap;1;5.37;0.0;0;0;7032;0;4424 | 4191;13171;13144;N/A;N/A;0
02/05/2026 00:29;Alcides;#GV2JCC0Q;0;13202;Indo 1st Ace;Derrota;1;3;-29;Ladder;PvP;Little Prince's Tavern;Fireball | Goblin Gang | Goblins | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers;Arrows | Electro Wizard | Hog Rider | P.E.K.K.A | Rocket | Valkyrie | Wizard | Zap;1;0.92;0.54;0;0;3460;0;1119;13200;13171;N/A;N/A;0
02/05/2026 00:21;mossy;#9UQRUV;0;13241;Aussie Heros;Derrota;1;2;-28;Ladder;PvP;Little Prince's Tavern;Fireball | Goblin Gang | Goblins | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers;Barbarian Barrel | Goblin Cage | Golem | Guards | Minions | Night Witch | Poison | Valkyrie;1;1.87;2.1;0;6001;7208;0;3853;13228;13200;N/A;N/A;0
01/05/2026 23:19;Leek;#2GJJP909;0;13196;TOPDOGS;Vitoria;2;1;29;Ladder;PvP;Little Prince's Tavern;Fireball | Goblin Gang | Goblins | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers;Arrows | Boss Bandit | Elite Barbarians | Firecracker | Mega Knight | Mortar | Skeletons | Spirit Empress;1;0.0;3.75;0;3313;3246;4364;0;13199;13228;N/A;N/A;0
01/05/2026 22:43;Combatiente;#GRRL9RQ0V;0;0;Los BROS;Derrota;1;2;0;Showdown_Friendly;trail;Legendary Arena;Balloon | Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Skeleton Barrel;Barbarian Barrel | Fireball | Furnace | Ice Spirit | Musketeer | P.E.K.K.A | Royal Ghost | The Log;1;2.04;1.53;0;3739;2710;0;1708;0;0;N/A;N/A;0
01/05/2026 22:33;Aldair;#29VP0JVVP;0;0;el Salvador;Vitoria;3;0;0;Showdown_Friendly;trail;Legendary Arena;Balloon | Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Skeleton Barrel;Boss Bandit | Cannon | Dart Goblin | Electro Spirit | Guards | Lumberjack | Princess | The Log;1;0.93;15.53;0;4824;0;2716 | 385;0;0;0;N/A;N/A;0
01/05/2026 22:09;FerGood;#8QY9Q8P0;0;13243;Astroboys;Derrota;0;3;-28;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Archers | Executioner | Fireball | Firecracker | Hog Rider | Ice Spirit | Lumberjack | Mini P.E.K.K.A;1;14.45;0.68;0;0;7728;0;3018 | 3272;13227;13199;N/A;N/A;0
01/05/2026 21:08;xKnowNamex;#29CJV8Y0P;0;13249;Royale Flush;Derrota;0;1;-30;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Bowler | Executioner | Freeze | Golden Knight | Graveyard | Inferno Dragon | Tornado | Zappies;1;1.78;6.81;0;7728;7728;3338;2386 | 3914;13257;13227;N/A;N/A;0
01/05/2026 21:01;obamna;#8GGPGUYJP;0;13212;Vamp Nation;Vitoria;1;0;28;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Dark Prince | Electro Spirit | Miner | Rocket | Royal Delivery | Skeletons | Tesla | The Log;1;1.82;1.57;0;7728;7032;4793 | 284;4424;13229;13257;N/A;N/A;0
01/05/2026 20:53;Aguademora;#GYGPP0UG;0;13162;Sem cla;Vitoria;1;0;26;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Barbarian Barrel | Bomb Tower | Dart Goblin | Rascals | Royal Ghost | Skeleton Barrel | Vines | Wall Breakers;1;0.59;4.35;0;7728;7032;2091 | 301;1600;13203;13229;N/A;N/A;0
01/05/2026 20:43;TOCO;#292U9Q89P;0;13216;N.G.WARRIORS;Derrota;0;3;-31;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Arrows | Bats | Goblin Gang | Mega Knight | Mini P.E.K.K.A | Tesla | Valkyrie | Wizard;1;8.42;2.42;0;0;7728;0;2455 | 4122;13234;13203;N/A;N/A;0
01/05/2026 20:37;Izz;#VVUC8Y8;0;13202;Ner Vod;Vitoria;1;0;29;Ladder;PvP;Little Prince's Tavern;Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies;Arrows | Baby Dragon | Barbarian Barrel | Dark Prince | Fireball | Goblin Drill | Magic Archer | Valkyrie;1;2.1;3.03;0;7728;7374;3573 | 286;2936;13205;13234;N/A;N/A;0
01/05/2026 20:28;Oh sim!;#YP90V0JR;0;13174;C0naESports;Vitoria;2;1;29;Ladder;PvP;Little Prince's Tavern;Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel;Arrows | Fireball | Firecracker | Fisherman | Giant | Guards | Hunter | Night Witch;1;3.21;1.25;0;7428;2717;660;0;13176;13205;N/A;N/A;0
01/05/2026 17:54;cristian;#YV8QV9R90;0;13148;floripa br;Vitoria;3;0;30;Ladder;PvP;Little Prince's Tavern;Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel;Arrows | Firecracker | Goblins | Guards | Knight | Mega Knight | Rage | Royal Giant;1;1.08;14.88;0;7299;0;1612 | 3878;0;13146;13176;N/A;N/A;0
