data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
28/04/2026 20:06,Chagus21,#YYJRYGJRY,0,12892,Clan Arg,victory,1,0,27,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Knight | Miner | Musketeer | Skeleton Barrel | The Log | Tombstone | Witch | Zappies,1
28/04/2026 19:53,VINI✨鬼滅,#2JP8VQVC2,0,0,Sem cla,defeat,0,1,0,Showdown_Friendly,trail,Legendary Arena,Dark Prince | Electro Spirit | Lightning | Magic Archer | Royal Hogs | Skeletons | Tesla | The Log,Barbarian Barrel | Fireball | Knight | Minions | Mortar | Musketeer | Skeleton Barrel | Skeletons,1
28/04/2026 19:48,Boruto Uzumaki,#2YL98GC8R,0,0,Sem cla,defeat,0,1,0,Showdown_Friendly,trail,Legendary Arena,Dark Prince | Electro Spirit | Lightning | Magic Archer | Royal Hogs | Skeletons | Tesla | The Log,Cannon | Electro Spirit | Furnace | Giant Skeleton | Goblins | Hog Rider | Lightning | The Log,1
28/04/2026 11:12,optimus270308,#Y0CUGG80P,0,12890,Unit 4,victory,2,1,30,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Balloon | Bats | Lumberjack | Tesla | Tornado | Valkyrie | Wizard,1
28/04/2026 10:27,Luiz03br mp,#JLJ8YV99,0,12929,BRASIL WAR,defeat,0,3,-28,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Wizard | Firecracker | Goblin Barrel | Goblin Gang | Hog Rider | Inferno Tower | The Log | Valkyrie,1
28/04/2026 09:47,규빈,#VRJ0UUGUR,0,12895,Team Korea No.1,victory,1,0,30,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,1
27/04/2026 22:14,EDWIN^_^,#92G8VV82R,0,0,Sem cla,victory,1,0,0,FloodHounds_Draft,trail,Fisherman's Float,Arrows | Flying Machine | Lava Hound | Lightning | Minion Horde | Minions | Phoenix | Skeleton Dragons,Baby Dragon | Balloon | Bats | Electro Dragon | Inferno Dragon | Mega Minion | Rocket | Void,1
27/04/2026 22:09,cplemons,#RVVPG2RUU,0,12822,Sem cla,victory,2,0,26,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Elite Barbarians | Fireball | Furnace | Knight | Rage | Skeletons | Sparky,1
27/04/2026 20:31,ING,#2YC9Y8LJ,0,0,Nikemania,victory,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Knight | Princess | Skeleton Army | The Log,1
27/04/2026 20:24,WANTED,#Y980J8Q0,0,0,Bionic chronics,victory,3,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Archer Queen | Earthquake | Fire Spirit | Goblin Cage | Royal Delivery | Royal Hogs | Skeletons | The Log,1
27/04/2026 20:20,MIGUEL CR,#C980CJU2P,0,0,Alhenita core,defeat,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Fire Spirit | Goblin Barrel | Inferno Tower | Princess | Rocket | Skeleton Army | The Log | Valkyrie,1
27/04/2026 20:16,あるふぁ／alpha ☆,#PPLCQP0JG,0,0,ゴブリン薬局,defeat,0,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Fireball | Goblin Gang | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Dart Goblin | Fire Spirit | Giant Skeleton | Goblin Hut | Goblins | Princess | Skeleton Barrel | The Log,1
