player_tag,name,trophies,best_trophies,level,clan_tag,clan_name,last_updated
#YVJR0JLY,Muy Pronto,8894,8946,53,#9LVUC0,Mormon Boys,2025-12-11T21:18:23.235746
#UJRJU2VC,will.beat.u,13119,13119,68,#Q0Q9L2PJ,FO FO,2026-04-21T01:17:48.099927+00:00
#99Y2CVGJ,KARONTE,13149,13175,82,#R8LPQUG2,los ganzitos mx,2026-04-21T01:17:50.363874+00:00
#9JGJ8LL,DOME77,12320,12349,79,#UJCCC,REGNO ITALIANO,2026-04-21T22:49:46.606323+00:00
#R8LL29G2Y,jumong,10000,10000,64,#YY0P9R20,@MladenCR,2026-04-21T22:49:48.860696+00:00
#YRU9LV0YV,•BiG GreeR•,12513,12513,59,#8PGRP2Y,Toxic Cheetos,2026-04-21T22:49:51.029437+00:00
#29UY2CVY2,nipitiri,12573,12662,64,#PRQ9VJG,ALL-STARS,2026-04-21T22:49:53.206471+00:00
#98JUVYLU,Shaikat,13000,13001,74,#QQYVU29P,Clamp Clash 2.0,2026-04-21T22:49:55.374332+00:00
#2GP9V0VVQ,ROCKETRACOON,12654,12887,84,#C0J8VJ,하늘하늘,2026-04-21T22:49:57.564160+00:00
#99CQR2UPV,mahakaal bhakt,12657,12806,67,#Y0Q9Y0C2,BAHUBALI,2026-04-21T22:49:59.834318+00:00
#RGLVU9VLP,우승이,12070,12070,63,#G2LGPG2Y,너만의안식처,2026-04-21T22:50:02.141587+00:00
#QYVQ0QU00,Emrullah Sarıca,13000,13000,67,#YRCLP99L,TURKIYE,2026-04-21T22:50:04.305698+00:00
#8CPYLCUV,ガキ,13156,13248,76,#20GRVL0R,神宮,2026-04-21T22:50:06.565192+00:00
#8YUGQVGCL,Hirancho,12532,12532,78,#G9Y0J0V0,chopper,2026-04-21T22:50:08.791414+00:00
#RY9G992,OLi,13829,13829,75,#8P8L2RYY,Los mercenario,2026-04-21T22:50:10.960771+00:00
#8Q8J089V0,Sai,12530,12530,79,#GCQP2LUC,ALPHA G00NERS,2026-04-21T22:50:13.129219+00:00
#VQ8LC299U,Big Mike,12565,12623,59,#QPUQGLYP,RATTPACK,2026-04-21T22:50:15.347150+00:00
#P2GURJU2U,DOMINUS R,12616,12879,80,,,2026-04-21T22:50:17.543109+00:00
#9YUR2GQ2,Fl0werCode,11693,11693,70,#LGU2LRV,蛇龟养殖基地,2026-04-21T22:50:19.705265+00:00
#8L8UULG,Johan Segura,12932,12939,69,#G9GP8QQ8,familia hama,2026-04-21T22:50:21.869924+00:00
#JJL9R88R2,Xnx_moyo,12335,12394,66,#R9CGVQ89,CHIAPASIONATE,2026-04-21T22:50:24.094711+00:00
#2QR292P,Λ Яᄃ λ Ð Є,12861,12862,84,#QCLPL9VQ,Tropa Do Bruxo,2026-04-25T02:14:12.757162
