data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
22/04/2026 22:14,♉ovidakis♉,#8V2RUUCU9,0,12737,BACAU KNIGHTS,Vitoria,1,0,29,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Baby Dragon | Bats | Lumberjack | Mega Knight | Night Witch | Princess | Royal Ghost | Witch,1
22/04/2026 20:05,Bass,#LRQPQRVR8,0,12716,#Ultra Clan,Vitoria,1,0,30,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Balloon | Hog Rider | P.E.K.K.A | Poison | Skeleton Army | The Log | Witch | Wizard,1
22/04/2026 19:55,A7mad1189,#2UGYLQJUQ,0,12677,Sem cla,Vitoria,2,1,29,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Electro Wizard | Hog Rider | Lumberjack | Minions | Valkyrie | Wall Breakers | Witch,1
22/04/2026 16:37,free falastin,#QVQ8CC0GP,0,12652,4RCE,Vitoria,1,0,29,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Balloon | Barbarian Barrel | Electro Dragon | Knight | Lumberjack | Mega Knight | Tesla | Tornado,1
22/04/2026 13:56,psiiiit,#G2VRRRGQG,0,11556,TEAM B2,Derrota,1,2,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Bats | Executioner | Firecracker | Giant Skeleton | Goblin Barrel | Inferno Tower | Skeleton Barrel | The Log,1
22/04/2026 12:20,polocof,#2GGGLJ0G8,0,10000,SPARTACUS MX,Derrota,0,3,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Archer Queen | Barbarian Barrel | Electro Giant | Goblin Cage | Graveyard | Poison | Royal Hogs | Skeletons,Baby Dragon | Electro Giant | Elite Barbarians | Goblinstein | Golden Knight | Mother Witch | Poison | Royal Giant,1
22/04/2026 12:13,اسامة,#8GV00QUUU,0,12530,كلنا غامد,Derrota,1,2,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Balloon | Fireball | Lava Hound | Miner | Rage | Skeleton King | Witch | Wizard,Firecracker | Flying Machine | Goblin Cage | Goblin Drill | Knight | Magic Archer | Poison | Royal Delivery,1
22/04/2026 11:57,DIANA JO,#9QCJ0U2UG,0,12456,Colombia,Derrota,0,1,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Electro Spirit | Executioner | Fisherman | Hunter | Monk | Royal Ghost | Royal Giant | Zappies,Barbarian Barrel | Elite Barbarians | Fireball | Firecracker | Giant Skeleton | Hog Rider | Mini P.E.K.K.A | Witch,1
21/04/2026 23:22,Walter,#8U0Y0JQP2,0,12619,magiayBrillitos,Vitoria,1,0,29,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Bats | Boss Bandit | Fireball | Inferno Tower | Ram Rider | Valkyrie | Wizard,1
21/04/2026 23:14,ttiez122,#20C02VYR,0,12622,Sem cla,Vitoria,1,0,32,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Wizard | Elite Barbarians | Executioner | Hog Rider | Mega Knight | The Log | Wizard | Zap,1
21/04/2026 23:08,Simón,#VY9RC8QRP,0,12545,ليلة سعيدة,Vitoria,2,1,28,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Dark Prince | Fireball | Golden Knight | Hog Rider | Minions | Skeleton Army | The Log | Witch,1
21/04/2026 21:22,mahakaal bhakt,#99CQR2UPV,0,12634,BAHUBALI,Derrota,1,2,-26,Ladder,PvP,Ultimate Clash Pit,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Bomber | Firecracker | Giant Skeleton | Goblin Barrel | Mini P.E.K.K.A | Prince | Princess | Zap,1
21/04/2026 21:16,nipitiri,#29UY2CVY2,0,12600,ALL-STARS,Derrota,0,1,-32,Ladder,PvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Dart Goblin | Fireball | Goblin Gang | Hog Rider | Knight | Tesla | The Log | Wall Breakers,1
21/04/2026 21:05,maikeee,#P8VVJYR0,0,12596,family clash,Vitoria,1,0,30,Ladder,PvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Arrows | Electro Wizard | Hog Rider | Inferno Dragon | Mega Knight | Skeletons | Witch | Wizard,1
21/04/2026 21:01,ROCKETRACOON,#2GP9V0VVQ,0,12624,하늘하늘,Derrota,0,3,-30,Ladder,PvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Boss Bandit | Firecracker | Knight | Mega Knight | Tesla | Valkyrie | Witch | Wizard,1
21/04/2026 19:26,riky,#2YLUPUY8,0,12579,sergio rumano,Vitoria,1,0,28,Ladder,PvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Dart Goblin | Ice Spirit | Mother Witch | Skeleton Army | Skeleton Barrel | Skeleton King | The Log | Wall Breakers,1
21/04/2026 19:20,Coche,#2P98LVR8,0,12572,Engordemos,Vitoria,3,0,30,Ladder,PvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Arrows | Hog Rider | Lightning | Mega Knight | Musketeer | Tesla | Wall Breakers | Witch,1
21/04/2026 19:01,oliver queen,#8PQJCVVC0,0,12560,Os demolidores,Vitoria,2,0,31,Ladder,PvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Arrows | Bats | Mega Knight | Mini P.E.K.K.A | Mother Witch | P.E.K.K.A | Royal Ghost | Wizard,1
