data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
12/12/2025 12:10,Lord Vader,#R8CLY98C,0,0,TOP ROYALE,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Barbarian Barrel | Elixir Collector | Golem | Mini P.E.K.K.A | Minions | Vines | Witch,1
12/12/2025 04:35,Werbi,#9YUR8P89Y,0,0,Badgers,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Executioner | Fireball | Mega Knight | Mini P.E.K.K.A | Ram Rider | Valkyrie | Witch | Zap,1
12/12/2025 04:32,2>BOWFAFO YT,#GLLVPLUJ8,0,0,Ascent,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Fire Spirit | Goblin Demolisher | Goblin Drill | Knight | Poison | Skeletons | Tesla | The Log,1
12/12/2025 03:49,빌리,#GJJJ82V,0,0,갑옷없는페카,Vitoria,3,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Boss Bandit | Electro Spirit | Fireball | Firecracker | Inferno Tower | Mega Knight | Skeletons,1
12/12/2025 03:46,XxJOOGIExX,#P98JC2QUQ,0,0,Aussie oranges,Derrota,0,3,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Boss Bandit | Electro Spirit | Firecracker | Goblin Curse | Rage | Skeletons | Sparky | Vines,1
12/12/2025 03:44,Aluizio Lima,#2LQ9Q090C,0,0,Sem cla,Vitoria,1,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Bats | Elite Barbarians | Executioner | Hog Rider | P.E.K.K.A | Skeleton Dragons | Tornado | Wizard,1
12/12/2025 03:41,Ҝ卂丂乇尺ㄚ几乇,#YQLJVJU98,0,0,SURJAN,Vitoria,2,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Electro Spirit | Fire Spirit | Giant Snowball | Ice Wizard | Knight | Musketeer | Skeleton Army | Tesla,1
12/12/2025 03:37,wRuch,#9GVRYJYCU,0,0,Bungalonians,Derrota,0,1,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Barbarian Barrel | Bowler | Electro Dragon | Fireball | Inferno Dragon | Lumberjack | Tornado,1
12/12/2025 03:34,nailucrack,#20RQRYU082,0,0,LaResaca,Vitoria,1,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Cannon | Mega Knight | Miner | Minions | Sparky | Spear Goblins | Witch,1
12/12/2025 03:29,Diego.rzs,#9Q2YUUJ0U,0,0,Trophy Titans,Vitoria,3,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Dart Goblin | Fire Spirit | Ice Spirit | Skeleton Army | Skeleton Barrel | Skeleton King | Suspicious Bush | Vines,1
12/12/2025 03:21,TalraSher,#C2VRYJY80,0,0,Magic CIouIds,Vitoria,2,1,0,Showdown_Friendly,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Fireball | Inferno Dragon | Lava Hound | Minions | Tombstone | Valkyrie | Zap,1
