data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
19/12/2025 04:06,piero,#PR9YQ9CRU,0,1632,Clan Uchiha,Derrota,0,1,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Barbarian Barrel | Bomb Tower | Giant Snowball | Ice Golem | Miner | Musketeer | Skeletons,1
19/12/2025 04:02,“jayden”10,#GYU0VLVQU,0,1578,los borrachos,Vitoria,3,0,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Dart Goblin | Firecracker | Magic Archer | Mega Knight | Minions | Poison | Witch | Zap,1
19/12/2025 03:56,LORD POE,#Q2QP2090,0,10778,BERSERK,Vitoria,3,1,30,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Bandit | Battle Ram | Electro Wizard | Minions | P.E.K.K.A | Royal Ghost | Vines | Zap,1
19/12/2025 03:53,GGradiantwyvern,#VQU00CUGC,0,10737,Sem cla,Vitoria,2,0,30,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Barbarian Barrel | Flying Machine | Goblin Cage | Golden Knight | Royal Hogs | Royal Recruits | Zappies,1
19/12/2025 01:59,짱뚜,#2PGUUYLY,0,10145,A Team,Vitoria,3,0,0,RampUpElixir_Ladder,riverRacePvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Bowler | Dart Goblin | Executioner | Golden Knight | Inferno Dragon | Magic Archer | Royal Giant,1
19/12/2025 01:57,the best man,#88298Y0C8,0,10529,910 Da Ville,Vitoria,3,2,0,RampUpElixir_Ladder,riverRacePvP,Royal Road,Archer Queen | Arrows | Bomber | Goblin Curse | Goblin Giant | P.E.K.K.A | Rage | Skeleton King,Bandit | Battle Ram | Executioner | Lumberjack | Princess | Royal Delivery | Royal Giant | Tornado,1
19/12/2025 01:54,Ulda.R,#UJQYRYUU8,0,10420,Ensenada Best,Vitoria,1,0,0,RampUpElixir_Ladder,riverRacePvP,Royal Road,Firecracker | Goblin Demolisher | Goblin Hut | Golden Knight | Golem | Mega Knight | Princess | Witch,Baby Dragon | Battle Ram | Electro Dragon | Guards | Lumberjack | P.E.K.K.A | Poison | Zap,1
19/12/2025 01:51,eithan22,#GG8GGQCCV,0,10548,Comayagua star,Derrota,1,2,0,RampUpElixir_Ladder,riverRacePvP,Royal Road,Electro Spirit | Fisherman | Goblin Barrel | Hunter | Royal Ghost | Royal Giant | Skeletons | Zappies,Electro Giant | Fireball | Firecracker | Prince | Valkyrie | Wall Breakers | Witch | Wizard,1
19/12/2025 01:27,HESAM,#J0JVVC80J,0,10736,旧十荣耀,Vitoria,1,0,32,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Cannon | Firecracker | Hog Rider | Ice Spirit | Mighty Miner | Skeletons | The Log | Valkyrie,1
19/12/2025 01:23,Felipe Lara,#8Y29YY22V,0,10723,Felipe e Mafe,Derrota,0,1,-31,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Boss Bandit | Cannon | Dart Goblin | Firecracker | Goblin Barrel | Goblin Gang | Ice Spirit | The Log,1
19/12/2025 01:18,Benny RK,#22P2J0C8,0,10749,vancity royale,Derrota,1,3,-31,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Giant | Inferno Dragon | Princess | Rocket | Valkyrie | Witch | Wizard | Zap,1
19/12/2025 01:15,ofmycollection,#92RQ080UG,0,10798,Sinaloa Mfs’g,Derrota,0,1,-29,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Bats | Mega Knight | Princess | Royal Hogs | Skeleton Army | Valkyrie | Witch | Zap,1
