data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
22/12/2025 20:33,Pdão ™(brasil),#U98VLLR80,0,0,partiu resenha,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Executioner | Hog Rider | Ice Spirit | Rocket | Skeletons | The Log | Tornado | Valkyrie,1
22/12/2025 20:24,SHURUGA™,#9QCULYJVC,0,0,-BULGARIA-,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Barbarians | Furnace | Hog Rider | Rage | Royal Ghost | Valkyrie | Wizard,1
22/12/2025 20:17,<c2> Rennan </c,#U2U0RJV,0,0,Família Finkao,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Bomb Tower | Dart Goblin | Rascals | Royal Ghost | Skeleton Barrel | Vines | Wall Breakers,1
22/12/2025 20:13,＠圧倒的コミュ障の極み,#YJJ2CLGRC,0,0,@圧倒的CRの極み,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bandit | Barbarian Barrel | Mega Knight | Miner | Minions | Musketeer | Wall Breakers | Zap,1
22/12/2025 20:07,emad007,#8Y90GUPR,0,0,كلان براسة 60حظ,Vitoria,2,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Furnace | Giant | Giant Snowball | Graveyard | Mini P.E.K.K.A | Minions | Witch,1
22/12/2025 20:02,Matt,#2U0PU8VJ9,0,0,Berlin Royale,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Bats | Electro Wizard | Furnace | Lumberjack | Mega Knight | Minions | Tornado,1
22/12/2025 19:56,leomil,#9GV8R2J88,0,0,Amigdary Mayor,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Archers | Fireball | Ice Spirit | Knight | Skeletons | Tesla | The Log | X-Bow,1
22/12/2025 19:46,cmmire727,#R88GPJLC,0,0,Louisiana Boys,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Cannon | Dart Goblin | Fire Spirit | Skeleton Army | Skeleton Barrel | Skeleton King | Suspicious Bush | The Log,1
22/12/2025 19:40,HITMAN,#9RVPLRCUL,0,0,Leyends XP,Vitoria,3,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Fisherman | Lightning | Mega Knight | Royal Hogs | Skeletons | Tornado | Wizard | X-Bow,1
22/12/2025 18:35,>Bag_Chaser_24<,#2RCCYG02Y,0,0,10/20,Derrota,1,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Battle Healer | Cannon | Electro Dragon | Furnace | Mirror | Monk | Tornado | Vines,1
22/12/2025 18:31,Sinelli,#V998VG82Q,0,0,! Savage,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bomber | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Dart Goblin | Fire Spirit | Ice Spirit | Skeleton Army | Skeleton Barrel | Skeleton King | Suspicious Bush | Vines,1
