data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
25/12/2025 14:41,⚔️007⚔️,#8UCP2UPC,0,0,SPHYNX & NILE,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Barbarian Barrel | Flying Machine | Goblin Cage | Golden Knight | Royal Hogs | Royal Recruits | Zappies,1
25/12/2025 14:37,YouMadBro?,#QGCU2PR,0,0,Flaming Alpha’s,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarians | Fire Spirit | Fireball | Goblin Barrel | Miner | Minion Horde | Princess | Spear Goblins,1
25/12/2025 14:33,Aurélio@GT☆◇,#89CJCPRU9,0,0,Banzai l BR,Vitoria,2,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Fireball | Flying Machine | Mega Minion | Mini P.E.K.K.A | P.E.K.K.A | Tornado | Witch,1
25/12/2025 02:29,Adriano,#8C0G9VUC,0,10876,Sem cla,Vitoria,3,0,29,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Dark Prince | Elite Barbarians | Furnace | Goblin Barrel | Goblin Gang | Ice Wizard | Sparky | Wizard,1
25/12/2025 01:41,challenger7777,#U9YJVL2U8,0,10824,Hevie,Vitoria,1,0,27,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Goblin Barrel | Goblin Gang | Inferno Tower | Princess | Rocket | Skeletons | The Log | Valkyrie,1
25/12/2025 01:37,tilin_777,#CPJULUJRP,0,10813,CALIDAD PERUANA,Vitoria,3,0,28,Ladder,PvP,Royal Road,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Lumberjack | Musketeer | Royal Recruits | Skeleton Barrel,Dart Goblin | Fire Spirit | Goblin Barrel | Ice Spirit | Mini P.E.K.K.A | Skeleton Barrel | The Log | Wall Breakers,1
25/12/2025 01:35,daddzilla,#9Q98Y0QQ,0,0,Jesus Warriors,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Dart Goblin | Firecracker | Goblin Gang | Goblins | Mega Knight | Valkyrie | Wall Breakers,1
25/12/2025 00:35,Mathis,#2LPCPV0L,0,0,TEAM RIDZER,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Cannon | Fireball | Hog Rider | Ice Spirit | Knight | Musketeer | Skeletons | The Log,1
25/12/2025 00:33,ᴸᶛᶜ‖ cesarⓊSJM⚡,#PYP89JGYP,0,0,No Mercy ✿,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bandit | Battle Ram | Electro Wizard | Fireball | Magic Archer | P.E.K.K.A | Royal Ghost | Zap,1
25/12/2025 00:32,kraunie,#UYJVPUGVY,0,0,The TVA,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Electro Spirit | Fire Spirit | Fireball | Heal Spirit | Ice Spirit | Rocket | Skeletons | Zap,1
25/12/2025 00:26,RisingStar,#290RRLGVU,0,0,España,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bandit | Electro Wizard | Musketeer | P.E.K.K.A | Ram Rider | Royal Ghost | Witch | Zap,1
25/12/2025 00:22,caleb❤️noskill,#CLYJLQJ2P,0,0,False Reality,Vitoria,2,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Archer Queen | Cannon | Earthquake | Ice Spirit | Royal Delivery | Royal Hogs | Skeletons | The Log,1
25/12/2025 00:18,buchi,#YCL8Y0YYC,0,0,太麺派2号店,Derrota,0,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Boss Bandit | Electro Spirit | Executioner | Ram Rider | Royal Ghost | Vines | Zap | Zappies,1
25/12/2025 00:13,The_knight_J,#YCG90CLRQ,0,0,the knight's,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bandit | Fireball | Freeze | Mega Knight | P.E.K.K.A | The Log | Three Musketeers | Witch,1
25/12/2025 00:12,aivar,#99UQ0PULV,0,0,NICARAGUA,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Archers | Arrows | Bowler | Dart Goblin | Firecracker | Hog Rider | Knight | Mega Knight,1
