data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
26/12/2025 13:12,embruix,#2QYY0Y2RQ,0,0,los molineros,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Executioner | Goblin Barrel | Goblin Gang | Hog Rider | P.E.K.K.A | Valkyrie | Wizard | Zap,1
26/12/2025 13:11,ŶДҜцŽД(×_×)™,#P2CCPRUP0,0,0,TROPA DO MANCA,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bats | Boss Bandit | Goblin Gang | Inferno Dragon | Mega Knight | Miner | Spear Goblins | Vines,1
26/12/2025 13:02,*Ali*,#P2GJPCQLQ,0,0,AFG,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Electro Dragon | Goblin Gang | Hog Rider | Mega Knight | Night Witch | Skeleton Barrel | Vines,1
26/12/2025 12:59,Nidal Alharare,#2YGJYLJCY,0,0,#Rockets,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Electro Spirit | Fireball | Fisherman | Hunter | Royal Ghost | Royal Giant | Skeletons,1
26/12/2025 12:56,THE RED LOBSTER,#GU28YPC,0,0,! Wolkig mit...,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Bats | Executioner | Flying Machine | Goblin Giant | Knight | Mega Knight | Valkyrie,1
26/12/2025 12:53,<c4>cl cool,#8PRQV2RL9,0,0,clan leon,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bandit | Barbarian Barrel | Executioner | Goblin Barrel | Goblin Gang | Hog Rider | Mini P.E.K.K.A | Wizard,1
26/12/2025 12:52,Axel,#GQ2LC9908,0,0,CDP OFICIAL,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Berserker | Bomber | Dart Goblin | Electro Spirit | Fire Spirit | Giant Skeleton | Little Prince,1
26/12/2025 12:50,BiGWiG,#GUYYCUP89,0,0,Baumwollpflüker,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Baby Dragon | Cannon Cart | Goblin Barrel | Heal Spirit | Knight | Rocket | Skeleton Barrel,1
26/12/2025 12:49,Näkki,#8PUR2VPU,0,0,Valkyrie Lovers,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Electro Giant | Freeze | Giant Snowball | Ice Golem | Ice Wizard | Miner | Rocket | Tesla,1
26/12/2025 01:35,Satuu7”m,#8Y0GR9CQ0,0,1742,sentonefc,Vitoria,3,0,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Goblin Barrel | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Princess | Rocket | Tesla | The Log,1
26/12/2025 01:34,ChorizoZ322,#PV99QUCVY,0,1763,Guerreros Z,Vitoria,2,1,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Elite Barbarians | Firecracker | Goblin Barrel | Magic Archer | Skeleton Army | Skeleton King | The Log | Wizard,1
