data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
29/12/2025 14:15,leon xd,#CU8QYYRV2,0,0,BESTER CR CLAN,Derrota,1,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Dark Prince | Golem | Ice Wizard | Mini P.E.K.K.A | Rocket | Tornado | Valkyrie,1
29/12/2025 14:11,Mn.Wild,#8Q2889YJU,0,0,Clash DeeZ NutZ,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Dark Prince | Fire Spirit | Mini P.E.K.K.A | Royal Ghost | Sparky | Valkyrie | Wizard,1
29/12/2025 14:07,AreYouMadBro?❤️,#28JPGYV90,0,0,Blaze,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bomb Tower | Firecracker | Goblins | Hog Rider | Ice Spirit | Mighty Miner | The Log | Vines,1
29/12/2025 13:55,ZK I Martin⚡,#29UVC8LJ0,0,0,Rocket's,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Berserker | Cannon | Dart Goblin | Fire Spirit | Goblin Barrel | Ice Spirit | Valkyrie | Wall Breakers,1
29/12/2025 13:47,sword106,#Y9GU0Y80Q,0,0,OCEWATCH,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bats | Fire Spirit | Heal Spirit | Ice Spirit | Knight | Skeletons | Wall Breakers | Zap,1
29/12/2025 13:42,Grey Beard,#2CCP09P9Q,0,0,Teachers Clash,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Dark Prince | Giant | Heal Spirit | Mini P.E.K.K.A | Rage | Vines | Witch | Zap,1
29/12/2025 13:06,X6fhalcomx,#YJCCQURV,0,0,ValenciaPROmini,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bats | Goblin Gang | Inferno Dragon | Mega Knight | Miner | Prince | Skeleton Barrel | Zap,1
29/12/2025 12:33,JDM,#29P9UQ9R,0,0,Demented,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Balloon | Bats | Giant Snowball | Goblin Gang | Mega Knight | Musketeer | Valkyrie | Witch,1
29/12/2025 12:28,NotVeryGood,#9PCUC2L,0,0,42O,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Dart Goblin | Fireball | Furnace | Prince | Royal Ghost | Skeleton Barrel | Suspicious Bush | The Log,1
29/12/2025 02:14,Alan,#CUGRQ8PLC,0,1866,TeamGT*,Vitoria,3,0,0,Ladder_TeamVsTeam,trail,Competitive,Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,Fireball | Goblin Barrel | Ice Spirit | Mega Knight | Mini P.E.K.K.A | Skeleton Army | Tesla | The Log,1
29/12/2025 02:08,emibutler,#9JCJYUGCJ,0,1858,Castle Black,Vitoria,2,1,0,Ladder_TeamVsTeam,trail,Competitive,Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,Arrows | Bats | Firecracker | Goblin Hut | Golden Knight | Mega Knight | Poison | Witch,1
29/12/2025 02:05,PointBlank,#YL2P028Y,0,1832,Degeneration X,Vitoria,1,0,0,Ladder_TeamVsTeam,trail,Competitive,Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,Arrows | Dark Prince | Firecracker | Mini P.E.K.K.A | Musketeer | Royal Hogs | Skeletons | The Log,1
29/12/2025 01:58,Penguinking,#L9CVV9C80,0,0,MV Hockey,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Electro Spirit | Fire Spirit | Goblin Curse | Heal Spirit | Ice Spirit | Rage | Skeletons,1
