data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
31/12/2025 20:20,El Bicho,#928UY2VU2,0,11214,BLACK CREWSJ,Vitoria,2,0,27,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Goblin Barrel | Hog Rider | Inferno Tower | Mega Knight | Skeleton Army | The Log | Witch | Zap,1
31/12/2025 20:15,Fernando,#JYVLVPQ88,0,11250,Sem cla,Vitoria,1,0,33,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Fireball | Firecracker | Freeze | Hog Rider | Ice Spirit | Skeletons | Tesla | Valkyrie,1
31/12/2025 18:22,Glass Joe,#QR8UY0P0,0,11199,LDS Brethren2.2,Vitoria,3,0,31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Elite Barbarians | Fire Spirit | Miner | P.E.K.K.A | Princess | The Log | Wizard | Zap,1
31/12/2025 18:11,ALEXCROOZ,#Y8988U9JU,0,11210,COLISEO,Derrota,0,1,-30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Cannon | Dart Goblin | Fireball | Knight | Miner | Royal Recruits | The Log,1
31/12/2025 17:32,Hobo,#U00RPRV8,0,11176,midwest militia,Vitoria,3,0,29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Bomber | Elite Barbarians | Executioner | Heal Spirit | Knight | Mini P.E.K.K.A | Rage | Zap,1
31/12/2025 17:29,Laansi,#PYJG0C9Q,0,11226,Think in green,Derrota,0,1,-28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Bats | Bomber | Electro Wizard | Hog Rider | Musketeer | Royal Delivery | Valkyrie,1
31/12/2025 17:25,rebel admv❤️,#LCVQ9YVQG,0,11228,universo 7 qro,Derrota,0,3,-31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Bowler | Fireball | Hog Rider | Inferno Dragon | Ram Rider | Valkyrie | Witch,1
31/12/2025 17:23,Frank Castle,#28VP20G80,0,11291,vpa,Derrota,0,1,-28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Void,Arrows | Bowler | Electro Wizard | Inferno Dragon | Mini P.E.K.K.A | Poison | Skeleton Barrel | Tombstone,1
31/12/2025 17:15,『UGRA』火 VIPER,#989GL9YU,0,11267,Amherst,Vitoria,2,1,32,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Zap,Arrows | Baby Dragon | Balloon | Goblin Gang | Inferno Dragon | Lava Hound | Lightning | Tombstone,1
31/12/2025 17:12,Q MAN CHU,#LV8PUU8L,0,11265,The Blacklist,Derrota,1,2,-30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Zap,Arrows | Balloon | Freeze | Knight | Lumberjack | Mega Knight | Skeleton Army | Tesla,1
31/12/2025 17:05,Phil The King,#8JVYJP,0,11291,T RAIN ReD ZoO,Derrota,1,2,-30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Zap,Elite Barbarians | Elixir Collector | Giant | Minions | Mirror | Sparky | Wizard | Zap,1
