data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
11/01/2026 03:09,FrostyOrihime,#VQ08G2VJV,0,11542,Sem cla,Vitoria,1,0,33,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Goblin Hut | Lightning | Mini P.E.K.K.A | Musketeer | Royal Ghost | Royal Recruits,Arrows | Barbarian Barrel | Firecracker | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,1
11/01/2026 03:05,DefiANt_SoMbrA,#VGGL2UYYU,0,11531,Sem cla,Derrota,0,1,-29,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Ghost | Royal Recruits,Barbarian Barrel | Bomb Tower | Dart Goblin | Rascals | Royal Ghost | Skeleton Barrel | Vines | Wall Breakers,1
11/01/2026 03:01,Yoogus,#80JGPV0R,0,11529,Zappy Zappies,Derrota,0,1,-32,Ladder,PvP,Summit of Heroes,Arrows | Barbarian Barrel | Dart Goblin | Goblin Gang | Musketeer | Royal Ghost | Royal Recruits | Wizard,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Knight | Musketeer | The Log,1
11/01/2026 02:56,tia,#YQGU0PP8Y,0,11612,MarianoSquad,Derrota,1,2,-28,Ladder,PvP,Summit of Heroes,Arrows | Barbarian Barrel | Dart Goblin | Executioner | Goblin Gang | Musketeer | Royal Recruits | Wizard,Arrows | Dart Goblin | Firecracker | Guards | Hog Rider | Mega Knight | Minions | Prince,1
11/01/2026 02:48,ntc,#22VPLJVL9,0,0,Sem cla,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Battle Ram | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Skeletons | Wizard,Baby Dragon | Barbarian Barrel | Berserker | Elixir Collector | Golem | Mini P.E.K.K.A | Vines | Witch,1
11/01/2026 02:46,アキラ,#82Y0Q8YJQ,0,0,自由,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Battle Ram | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Skeletons | Wizard,Baby Dragon | Bowler | Elixir Collector | Goblin Giant | Minions | P.E.K.K.A | Spear Goblins | Zap,1
11/01/2026 02:42,lightning,#LUY8VGC22,0,0,Clan #YYV9809,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Battle Ram | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Skeletons | Wizard,Barbarian Barrel | Battle Healer | Fisherman | Lightning | Mirror | Monk | Mother Witch | Zappies,1
11/01/2026 02:38,The Legend2,#CGU9JPCC,0,0,Baby Dragons,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Battle Ram | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Skeletons | Wizard,Furnace | Giant | Goblin Curse | Guards | Prince | Rage | Spirit Empress | Zap,1
11/01/2026 02:23,NTR AMADEUS,#R8GPY9P2Y,0,0,guapos del ceb,Vitoria,1,0,0,TeamVsTeam,trail,Legendary Arena,Barbarian Barrel | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Royal Hogs | Skeletons | Wizard,Balloon | Barbarian Barrel | Bowler | Electro Dragon | Freeze | Inferno Dragon | Lumberjack | Tornado,1
11/01/2026 02:09,Shaah,#8QUC8J9LQ,0,0,大日本帝国,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Royal Hogs | Skeletons | Wizard,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log,1
11/01/2026 02:00,UJRdragonknight,#JCGVYY2L,0,0,Burnoutsaarost,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Electro Spirit | Goblin Hut | Lightning | Royal Ghost | Royal Hogs | Skeletons | Wizard,Archer Queen | Arrows | Bandit | Bats | Goblin Gang | Mega Knight | Prince | Wall Breakers,1
