data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
27/01/2026 03:28,Gabriel 07,#V9JJLC8RU,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Ram Rider | Royal Recruits | Wall Breakers,Dart Goblin | Fireball | Knight | Lumberjack | Mega Knight | Mini P.E.K.K.A | Skeleton Army | Wizard,1
27/01/2026 03:23,SAMurai,#8UL80RVG,0,0,Las vegas NV,Vitoria,2,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Electro Giant | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Firecracker | Guards | Lightning | Little Prince | Mega Knight | Mini P.E.K.K.A | Tesla | Zap,1
27/01/2026 03:20,Pinky,#L8Y9VGUP,0,0,IMBASION FLOPPA,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers | X-Bow,Arrows | Bats | Berserker | Boss Bandit | Firecracker | Mega Knight | Skeleton Army | Witch,1
27/01/2026 03:14,ℰℒ ℂℋᎯℛℒℐℰ,#829L2CUU,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Princess | Royal Recruits | Wall Breakers,Dart Goblin | Goblin Barrel | Ice Spirit | Inferno Tower | Knight | Princess | Skeleton Army | The Log,1
27/01/2026 03:09,$AngryNeeson52$,#P0P8RR0,0,0,Three Crown Mob,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Dart Goblin | Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Knight | Princess | The Log,1
27/01/2026 03:05,芜狐,#V0990JGG0,0,0,龍虎门,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Dart Goblin | Goblin Gang | Mini P.E.K.K.A | Rascals | Skeleton Barrel | Suspicious Bush | Wall Breakers,1
27/01/2026 03:00,el unico,#8CLYV2YYU,0,0,Chile Unido,Vitoria,3,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bats | Fireball | Freeze | Hog Rider | Musketeer | Royal Hogs | Valkyrie | Witch,1
27/01/2026 02:56,Anthony AG,#UCV0PUYCC,0,0,Nc OFICIAL,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Executioner | Hog Rider | Ice Spirit | Knight | Lightning | Mini P.E.K.K.A | The Log | Tornado,1
27/01/2026 02:26,けー,#VG9LG0UGY,0,0,寄付,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Goblins | Knight | Lightning | P.E.K.K.A | Ram Rider | Wizard | Zap,1
27/01/2026 02:21,Chief Kyle23,#8Q8JRPQ8,0,0,PILIPINO KAMI,Derrota,1,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Electro Wizard | Fireball | Furnace | Giant | Mini P.E.K.K.A | Tesla | Witch,1
27/01/2026 02:06,Super daqiqi,#UY9YLP2RC,0,0,⚡️戰神的绿胖❤️电车之家⚡️,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bandit | Battle Ram | Dark Prince | Electro Wizard | Mega Knight | Mini P.E.K.K.A | Royal Ghost | Witch,1
27/01/2026 02:01,이삭줍는여인들,#Y822PPQJ2,0,0,log bait fussy,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Berserker | Furnace | Giant Skeleton | Giant Snowball | Goblin Curse | Goblin Hut | Graveyard | Zappies,Barbarian Barrel | Cannon | Electro Dragon | Ice Wizard | Monk | Ram Rider | Royal Recruits | Tornado,1
27/01/2026 01:58,Nova I 职业选手,#8C8QLCQG,0,0,雞肉麵促進會,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Berserker | Furnace | Giant Skeleton | Giant Snowball | Goblin Curse | Goblin Hut | Graveyard | Zappies,Barbarian Barrel | Cannon Cart | Fireball | Goblin Gang | Minions | Mortar | Skeleton Barrel | Skeleton King,1
27/01/2026 01:51,GetRektByGeo,#9JYLQYQ9,0,0,im2nd,Vitoria,2,1,0,TeamVsTeam,trail,Legendary Arena,Berserker | Furnace | Giant Skeleton | Giant Snowball | Goblin Curse | Goblin Hut | Graveyard | Zappies,Dart Goblin | Firecracker | Furnace | Goblin Gang | Mega Minion | Ram Rider | Royal Hogs | Vines,1
27/01/2026 01:44,ꜰʟ ᴊᴏꜱᴜᴇ✨,#VV2CV9QGC,0,0,Fli's Family,Derrota,0,1,0,TeamVsTeam,trail,Legendary Arena,Berserker | Furnace | Giant Skeleton | Giant Snowball | Goblin Curse | Goblin Hut | Graveyard | Zappies,Dark Prince | Electro Wizard | Elite Barbarians | Goblin Giant | Heal Spirit | Rage | Sparky | Zap,1
27/01/2026 01:31,devon1uptop,#89P99089Q,0,11919,Cheese Vandal,Vitoria,3,0,29,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Furnace | Ice Golem | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | P.E.K.K.A | The Log,1
27/01/2026 01:23,Water Boy,#G0V8UGVUQ,0,11880,Ya like jazz?,Vitoria,1,0,28,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Barbarian Barrel | Dart Goblin | Goblin Barrel | Princess | Skeletons | Tesla | The Log | Valkyrie,1
27/01/2026 01:18,ell villón,#UP8GJ98LY,0,11880,BIMOT-15,Vitoria,3,1,31,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Archers | Arrows | Baby Dragon | Balloon | Lumberjack | Mini P.E.K.K.A | Skeletons | Tombstone,1
