data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
02/02/2026 03:38,joaquin,#U0C9QQ098,0,0,LOS PAPUS,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Electro Wizard | Fireball | Mega Knight | Mini P.E.K.K.A | Mirror | Sparky | Tesla,1
02/02/2026 03:08,cel,#PP98GCY0,0,0,M E R C U R Y,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Mega Knight | Minions | Wall Breakers,Dart Goblin | Goblin Gang | Knight | Princess | Rascals | Skeleton Barrel | The Log | Wall Breakers,1
02/02/2026 02:49,insano,#UQYCG20JV,0,0,FAMILIA DO GRAU,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Mega Knight | Minions | Wall Breakers,Arrows | Bats | Dart Goblin | Goblin Barrel | Mega Knight | P.E.K.K.A | Tombstone | Zap,1
02/02/2026 02:44,ENGLANDV1,#V8GURR0U8,0,0,Nova I Elite D,Derrota,1,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Balloon | Bats | Furnace | Goblin Cage | Lumberjack | Valkyrie | Vines,1
02/02/2026 02:39,mr fitz,#RGQJ2R9U,0,0,Divine Warriors,Derrota,1,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Balloon | Bandit | Clone | Lumberjack | Mega Knight | Minions | Skeleton Barrel | Wizard,1
02/02/2026 02:35,Tora,#9G9QCLRPG,0,0,Boozing Bandits,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Knight | Princess | Skeletons | The Log,1
02/02/2026 02:04,. ObitoUchiha,#9J2JRY8LJ,0,0,GLRK,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Boss Bandit | Electro Wizard | Mini P.E.K.K.A | Rage | Rascals | Royal Recruits | Witch,1
02/02/2026 02:01,Ecthelion325,#JP9QGRRGJ,0,0,FacuKps,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Barbarian Barrel | Battle Ram | Fireball | Heal Spirit | Hunter | Ice Golem | Royal Ghost | Three Musketeers,1
02/02/2026 01:51,Byfenix YT,#RUV2UUQQ,0,0,Hunter SV,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Giant Snowball | Goblin Drill | Ice Spirit | Royal Delivery | Skeletons | The Log,1
02/02/2026 01:47,aviv,#2LV80PGP,0,0,Tel-Aviv Sharks,Vitoria,3,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Goblin Barrel | Knight | Princess | Skeleton Army | Skeleton Barrel | The Log,1
02/02/2026 01:44,Motasm,#LCRURU9YY,0,0,Arctic Wolf,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Electro Spirit | Goblin Barrel | Rocket | Skeletons | The Log | Valkyrie,1
