data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
15/02/2026 20:09,SaharG,#8UG9VGGV,0,0,Burger Royale™,Vitoria,2,0,1,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Dark Prince | Fireball | Furnace | Giant | Giant Snowball | Prince | Wizard,1
15/02/2026 20:03,Quickscope 631,#8PQLQC2G,0,0,America,Derrota,1,2,0,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Barbarian Barrel | Electro Spirit | Fireball | Fisherman | Goblins | Hunter | Royal Ghost | Royal Giant,1
15/02/2026 19:45,SVOJacob,#992LJ98Y,0,3,Ruhrstadion,Derrota,1,3,0,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Dart Goblin | Goblins | Mother Witch | Skeleton Army | Skeleton Barrel | Skeleton King | Suspicious Bush | Vines,1
15/02/2026 19:24,Racsopeace,#PQ8V8VGY,0,3,Realañaツ,Derrota,0,1,0,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Bomb Tower | Goblin Demolisher | Goblin Drill | Knight | Magic Archer | Skeletons | The Log | Tornado,1
15/02/2026 19:19,THE DUDE,#8JP08L28,0,12000,ARMYGEROUS,Vitoria,3,1,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Dart Goblin | Firecracker | Goblin Gang | Goblins | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Balloon | Dark Prince | Dart Goblin | Lumberjack | Mini P.E.K.K.A | Wall Breakers | Witch,1
15/02/2026 19:16,이천고양이,#P9U00CUJP,0,11913,korea-귀족,Derrota,1,2,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Barbarian Barrel | Goblin Cage | Goblinstein | Graveyard | Mini P.E.K.K.A | Poison | Royal Delivery | Skeletons,Baby Dragon | Barbarians | Battle Healer | Dart Goblin | Fireball | Goblin Giant | Wizard | Zap,1
15/02/2026 19:12,marzogol,#PRYCYVPY,0,11686,Royale Augsburg,Vitoria,3,1,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Balloon | Fireball | Golden Knight | Lumberjack | Mega Knight | Princess | Witch | Wizard,Bats | Firecracker | Giant Snowball | Goblin Gang | Mega Knight | Miner | Prince | Wall Breakers,1
15/02/2026 19:09,INDIKA,#8C9CCY28G,0,11597,ClashOfPerros,Derrota,2,3,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Archers | Fireball | Firecracker | Flying Machine | Goblin Gang | Hog Rider | Royal Recruits | Valkyrie,1
15/02/2026 17:49,ds69380,#90VUGPVC,0,2,Clan #QYUVYC00,Vitoria,2,1,1,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Fireball | Fisherman | Goblin Cage | Goblins | Mega Minion | Mother Witch | Royal Giant | The Log,1
15/02/2026 02:13,ŦҤE Mλ$ŦEｒ,#2Q92PR8VR,0,0,Sem cla,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Boss Bandit | Firecracker | Mini P.E.K.K.A | Skeletons | Sparky | Vines | Wizard | Zap,1
15/02/2026 02:11,Artemiovgr,#U29CU0G,0,0,Titos,Derrota,1,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Hog Rider | Knight | Lightning | P.E.K.K.A | Skeletons | Tesla | The Log | Wizard,1
