data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
16/02/2026 19:43,Falcon,#9LLLJU20,0,0,Clash of Duty,Vitoria,3,1,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Mega Knight | Mighty Miner | Royal Ghost | Royal Recruits,Firecracker | Mega Minion | P.E.K.K.A | Royal Hogs,1
16/02/2026 19:31,Luffy,#8J2Q0RYU,0,0,PINOY,Derrota,0,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Mega Knight | Mighty Miner | Royal Ghost | Royal Recruits,Firecracker | Monk | Royal Ghost | Suspicious Bush,1
16/02/2026 04:02,手羽中,#2G20CGCJ,0,0,なんJ クラロワ部,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Ghost | Royal Recruits,Arrows | Barbarian Barrel | Electro Spirit | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,1
16/02/2026 03:47,jroit,#J2URG8R0,0,0,RaGe-,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Ghost | Royal Recruits,Cannon | Furnace | Goblin Barrel | Goblin Demolisher | Goblin Gang | Knight | Princess | The Log,1
16/02/2026 03:42,гафа,#2V0VYGVG,0,0,Royal_Kz,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Ghost | Royal Recruits,Arrows | Cannon | Firecracker | Knight | Mega Knight | Ram Rider | The Log | Witch,1
16/02/2026 03:36,EL PATRON✨,#80VR0CV8,0,0,Sem cla,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Fireball | Goblin Gang | Goblins | Minions | Royal Ghost | Royal Recruits,Arrows | Bomber | Dark Prince | Giant | Lightning | Mega Minion | Prince | Zap,1
16/02/2026 03:32,harley quinn❣️,#2GRGQPPR0,0,0,Fr Fr Fr Fr,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Bowler | Electro Wizard | Giant | Minion Horde | Royal Hogs | Skeleton Army | The Log,1
16/02/2026 02:40,EnjoiMusik,#8QGJ0UG0U,0,0,The Supers,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Archers | Arrows | Cannon Cart | Clone | Giant Skeleton | Magic Archer | Night Witch | Skeleton Barrel,1
16/02/2026 02:37,mend10,#PJ9VU2RJP,0,0,Tall people,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Firecracker | Hog Rider | Ice Golem | Mini P.E.K.K.A | P.E.K.K.A | The Log | Vines | Witch,1
16/02/2026 02:25,ちゃうちゃ,#VCCCR8LUL,0,0,Sem cla,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel,Goblin Cage | Goblin Curse | Lava Hound | Mega Minion | Miner | Spirit Empress | Valkyrie | Vines,1
16/02/2026 02:16,《♡◇€D₩¡N B+L◇♡》,#YP8R9RLRQ,0,0,Sem cla,Derrota,0,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel,Bats | Dart Goblin | Fireball | Goblin Gang | Mega Knight | Mini P.E.K.K.A | Skeleton Barrel | The Log,1
16/02/2026 02:12,calditos886,#22CVPQ08L,0,0,SF✝️GAZA☣️SAF☪️,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel,Arrows | Firecracker | Goblin Gang | Hog Rider | Inferno Tower | Mega Knight | Mini P.E.K.K.A | Princess,1
16/02/2026 02:07,おりょりょ,#VVLCG82U,0,0,黒歴史,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Dart Goblin | Lightning | Minion Horde | Skeleton Army | Skeleton Barrel | Skeleton King | The Log | Wall Breakers,1
16/02/2026 02:02,@seebaaahh,#2R0Q8LR9Q,0,0,lostuladegato,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Knight | Rocket | Skeletons | The Log,1
