data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
19/02/2026 22:55,Fábio,#2V82C9PY,0,0,LosFracos BR,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Dark Prince | Electro Dragon | Elixir Golem | Furnace | Goblin Gang | Lumberjack | Night Witch,1
19/02/2026 22:51,Furkan58,#LU9P2GP09,0,0,VAY ARKADAŞ,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Firecracker | Hog Rider | Lumberjack | Minions | Prince | Skeletons | Sparky | Zap,1
19/02/2026 22:47,carlinhos lenda,#9GUJRRU8R,0,0,Bangla™️,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Hog Rider | Knight | Lightning | Mega Knight | Skeleton Barrel | The Log | Witch,1
19/02/2026 19:34,XX,#8Q8LJQJC,0,0,皇族精英,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Barbarian Barrel | Dart Goblin | Fireball | Goblins | Minions | Mortar | Skeleton Barrel | Skeleton King,1
19/02/2026 19:29,Bernando,#28VYJ8CV,0,0,Spartans,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Bowler | Electro Wizard | Freeze | Graveyard | Ice Wizard | Inferno Dragon | Tornado | Valkyrie,1
19/02/2026 16:34,Lucifer,#20UGJJV,0,0,iran2020,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Archers | Arrows | Cannon Cart | Hog Rider | Knight | Mortar | Musketeer | The Log,1
19/02/2026 16:00,Tomas 09,#28QCQU0R,0,0,sosososo,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Battle Ram | Golden Knight | Hunter | Ice Golem | Knight | Minions | Three Musketeers,1
19/02/2026 12:34,Regente Thragg,#UP2R8LUG0,0,0,Vagabond,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Barbarian Barrel | Electro Spirit | Goblin Hut | Ice Wizard | Lightning | Royal Ghost | Royal Hogs | Skeletons,1
19/02/2026 02:12,Clasher,#8J0Q9GV9G,0,0,curitiba,Derrota,2,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Elixir Golem | Firecracker | Goblin Giant | Mega Knight | Minions | Rage | Sparky | Valkyrie,1
19/02/2026 02:09,purebs,#YY0LLJP,0,0,Ironclad Nomads,Derrota,1,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Bomber | Electro Giant | Inferno Dragon | Lightning | Mega Knight | Mini P.E.K.K.A | Minions,1
19/02/2026 02:05,Shulqs,#20PVYJJJG,0,0,Capota Corsa,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Fireball | Hog Rider | Inferno Tower | Prince | Skeleton Army | The Log | Valkyrie | Zap,1
