data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
21/02/2026 23:45,daniiperezz7,#9C0PLU2C,0,0,Try to stop,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Cannon | Firecracker | Hog Rider | Royal Delivery | Skeleton Barrel | Skeletons | The Log | Valkyrie,1
21/02/2026 23:43,PAPIRRIIIN,#LVP9PQUG8,0,0,GUASSAMAMAYOS,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Electro Wizard | Elite Barbarians | Goblin Barrel | Princess | Rage | Valkyrie | Wizard,1
21/02/2026 23:38,Ghi_Universal,#82CLGVJ0P,0,9,Horus Royal NG,Vitoria,3,0,1,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Lumberjack | Skeleton Barrel,Firecracker | Spear Goblins | Wall Breakers | Witch,1
21/02/2026 23:35,LO_CR7,#LQ2C2R8Q,0,9,Al Armin,Derrota,1,2,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Lumberjack | Skeleton Barrel,Berserker | Firecracker | Mega Knight | Skeleton Barrel,1
21/02/2026 23:31,GABRIEL,#GQLJRPUCC,0,9,yes,Derrota,0,2,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Lumberjack | Skeleton Barrel,Furnace | Golden Knight | Skeleton Army | Suspicious Bush,1
21/02/2026 23:25,ariel. s81,#U99CJYCGU,0,9,Anime IL,Derrota,2,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Lumberjack | Skeleton Barrel,Dart Goblin | Mini P.E.K.K.A | Suspicious Bush | Valkyrie,1
21/02/2026 23:20,William 11,#8VLL2QPUJ,0,8,Akadios VI,Vitoria,1,0,1,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Lumberjack | Skeleton Barrel,Boss Bandit | Firecracker | Miner | Valkyrie,1
21/02/2026 23:15,Michael.esneide,#2CG800LL0,0,8,BEST WARRIORS,Derrota,2,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Dart Goblin | Firecracker | Giant Skeleton | Skeleton Barrel,Firecracker | Furnace | Lumberjack | Miner,1
21/02/2026 23:12,polis.,#PCJRLQ20V,0,7,ITALIA,Vitoria,1,0,1,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Dart Goblin | Firecracker | Giant Skeleton | Skeleton Barrel,Firecracker | Minions | Royal Recruits | Wall Breakers,1
21/02/2026 21:10,Алмаз,#PLLYURJLL,0,6,For real bro,Vitoria,2,1,1,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Dart Goblin | Firecracker | Giant Skeleton | Skeleton Barrel,Firecracker | Furnace | Golden Knight | Suspicious Bush,1
21/02/2026 20:13,miki86,#8C8UPLQU9,0,5,DTS Aurys98,Vitoria,2,0,1,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Dart Goblin | Firecracker | Giant Skeleton | Skeleton Barrel,Furnace | Golden Knight | Mega Knight | Sparky,1
21/02/2026 20:09,DarkLoki1112,#8UQUUR9LV,0,5,Sem cla,Derrota,2,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Skeleton Barrel | Suspicious Bush,Berserker | Firecracker | Hog Rider | Skeleton Barrel,1
21/02/2026 20:06,leo,#2J2L0J8L,0,5,west coast,Derrota,1,2,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Skeleton Barrel | Suspicious Bush,Electro Spirit | Firecracker | Monk | Mother Witch,1
21/02/2026 20:03,ATRE,#2QRJUV0C8,0,4,Universo 927,Vitoria,2,0,1,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Skeleton Barrel | Suspicious Bush,Executioner | Firecracker | Mega Knight | Musketeer,1
21/02/2026 19:59,国際保護動物,#9QVPULJP2,0,4,春風,Derrota,0,1,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Firecracker | Giant Skeleton | Rune Giant | Skeleton Barrel,Furnace | Golden Knight | Ice Golem | Suspicious Bush,1
