data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
03/03/2026 10:51,Sickrich91,#P9R9QRL0,0,0,Kings of Clash,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Dark Prince | Dart Goblin | Goblins | Rascals | Royal Ghost | Skeleton Barrel | Suspicious Bush | The Log,1
03/03/2026 10:46,1488Sprite1337,#8QJ9JU0PC,0,0,Sem cla,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Goblin Barrel | Goblin Gang | Inferno Tower | Knight | Princess | Rocket | Skeletons | The Log,1
03/03/2026 10:43,Twilight 12,#80U2JRLG,0,0,CANCRO ROYALE,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Barbarian Barrel | Electro Spirit | Fireball | Fisherman | Goblins | Hunter | Royal Ghost | Royal Giant,1
03/03/2026 10:35,Nurtash,#UVQQGPRJL,0,0,13,Vitoria,2,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Barbarian Barrel | Boss Bandit | Dart Goblin | Firecracker | Goblin Barrel | Knight | Ram Rider | Tombstone,1
03/03/2026 10:32,jamaan,#PGC9JUUYL,0,0,Dutch Legacy,Derrota,2,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Dragon | Golem | Mini P.E.K.K.A | Royal Ghost | Skeleton Dragons | Tornado | Zap | Zappies,1
03/03/2026 10:02,bombaatomic,#2Y9LCVRVU,0,0,Eklipse,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Bandit | Fireball | Hog Rider | Minion Horde | Skeleton Army | Valkyrie | Wizard | Zap,1
03/03/2026 09:54,⚡Sir Marin⚡,#2RL2PG0P0,0,0,Clan  #G9GYUGY9,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Bats | Dart Goblin | Furnace | Goblin Barrel | Goblin Gang | Skeleton Barrel | Valkyrie | Zap,1
03/03/2026 09:51,Targaryen,#2RR8Q0JJQ,0,0,50 DEVILS,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Electro Wizard | Firecracker | Hog Rider | Knight | Mega Knight | The Log | Witch,1
03/03/2026 09:31,VIOLET ROVER,#9YQVUVVQ,0,0,Jai shree Ram,Vitoria,3,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Balloon | Barbarian Barrel | Cannon | Electro Wizard | Executioner | Lumberjack | Mega Knight | Mighty Miner,1
03/03/2026 09:28,gatling,#8UJ0CJVR,0,0,blackjackdaniel,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Elite Barbarians | Elixir Collector | Firecracker | Inferno Tower | Lumberjack | Mirror | Mother Witch | Zappies,1
03/03/2026 09:25,Ipman,#GJ09VCV2,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Executioner | Goblins | Hog Rider | Ice Spirit | Rocket | The Log | Tornado | Valkyrie,1
