data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
05/03/2026 17:43,Dizzzzy,#8RQ2YY9C,0,12415,Sem cla,Vitoria,1,0,32,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Archer Queen | Electro Spirit | Electro Wizard | Firecracker | Goblin Cage | Goblins | Poison | Valkyrie,1
05/03/2026 16:30,Daniel,#P8UJYRQ,0,0,Los avengers,Vitoria,3,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Baby Dragon | Bats | Clone | Golem | Lumberjack | Night Witch | Skeleton Army,Cannon | Dart Goblin | Electro Spirit | Firecracker | Hog Rider | Knight | The Log | Wall Breakers,1
05/03/2026 16:09,francisco,#JG9YRVJLY,0,0,Clan Nica,Vitoria,2,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Baby Dragon | Bats | Clone | Golem | Lumberjack | Night Witch | Skeleton Army,Arrows | Dart Goblin | Goblin Gang | Hog Rider | Mini P.E.K.K.A | Minions | Royal Hogs | Valkyrie,1
05/03/2026 16:04,SCHINOFICIAL,#22PY0L29L,0,0,sementólogos,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Cannon | Firecracker | Hog Rider | Ice Spirit | Musketeer | Skeletons | Valkyrie,1
05/03/2026 16:00,TanFlores,#U2PCRC0GV,0,0,Tropa Electrica,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Goblin Gang | Lightning | Mega Knight | Minions | Skeleton Barrel | Wall Breakers,Arrows | Executioner | Knight | Mega Knight | Miner | Mini P.E.K.K.A | Skeletons | Wizard,1
05/03/2026 15:56,ig_na_ciio,#98CL9PYPR,0,0,Top Chile,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Mega Knight | Mini P.E.K.K.A | Prince | Rocket | Skeleton Army | Valkyrie | Witch | Wizard,1
05/03/2026 15:52,Falcon7,#8RQLGPCC,0,0,Rog Hider,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Fireball | Knight | Mega Knight | Minions | Mirror | Princess | Skeleton Army | Sparky,1
05/03/2026 15:46,L E B A,#UY92LPUGP,0,0,Aktive Hasen,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Dart Goblin | Electro Wizard | Golden Knight | Knight | Mega Knight | Valkyrie | Witch,1
05/03/2026 15:36,shemshem,#P88JG0QR,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Dart Goblin | Firecracker | Goblin Barrel | Knight | Skeleton Army | Skeleton Barrel | Tesla | The Log,1
05/03/2026 13:29,poser,#2J28CV9L,0,0,LMG_TEAM,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Elite Barbarians | Hog Rider | Lumberjack | Minion Horde | Prince | Skeleton Army | Valkyrie | Wizard,1
05/03/2026 01:34,lord snow,#8LYV92GGU,0,0,Deutsch,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Hog Rider | Minions | Prince | Skeleton Army | Witch | Wizard | Zap,1
