data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
07/03/2026 23:08,JOSE❤️P.E.K.K.A,#C222PY80R,0,0,VIRGIL VAN DIJK,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Electro Spirit | Goblin Barrel | Goblin Drill | Goblin Hut | Ice Spirit | P.E.K.K.A | Vines,Dart Goblin | Furnace | Goblin Demolisher | Goblin Hut | Musketeer | The Log | Tombstone | Vines,1
07/03/2026 21:37,Äđřïäňö✌,#2VVV9RU8Q,0,10300,Brocsas,Vitoria,3,0,0,TripleElixir_Ladder,riverRacePvP,Magic Academy,Balloon | Fireball | Golden Knight | Lava Hound | Lumberjack | Mega Knight | Witch | Wizard,Arrows | Goblin Gang | Little Prince | Lumberjack | Prince | Princess | Valkyrie | Wizard,1
07/03/2026 20:42,Matheus,#PJJ98G08Q,0,12029,B E R S E R K S,Derrota,0,3,0,TripleElixir_Ladder,riverRacePvP,Magic Academy,Electro Spirit | Fisherman | Hunter | Magic Archer | Monk | Royal Ghost | Royal Giant | Zappies,Bats | Bomber | Dark Prince | Giant | Mega Minion | Poison | Prince | Zap,1
07/03/2026 15:43,MostlyHarmless,#8RRRY9J0,0,0,RoyalRagers 2,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Electro Spirit | Goblin Barrel | Goblin Drill | Goblin Hut | Ice Spirit | P.E.K.K.A | Vines,Baby Dragon | Berserker | Executioner | Fireball | Flying Machine | Knight | P.E.K.K.A | The Log,1
07/03/2026 15:34,giovixCommander,#9L29PY98Q,0,0,Evil Shadows,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Fireball | Hunter | Inferno Tower | Lumberjack | Mega Knight | Minions | Mortar | Rage,1
07/03/2026 15:30,Nosik,#Y2GR9GJC,0,0,Wor4...#$_,Vitoria,2,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Spirit | Fireball | Fisherman | Hunter | Royal Ghost | Royal Giant | Skeletons | The Log,1
07/03/2026 15:26,medic_phil,#2JV2C8QRR,0,0,A$AP Royals,Derrota,0,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Hog Rider | Mega Minion | P.E.K.K.A | Skeletons | Valkyrie | Witch | Wizard | Zap,1
07/03/2026 06:19,gerson,#YUQ0RPJ8U,0,0,Full Humildad,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Battle Ram | Bomb Tower | Boss Bandit | Furnace | Goblins | Poison | Witch,1
07/03/2026 06:15,anooba,#C0L9URCPQ,0,0,FAMILY :),Derrota,1,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Goblins | Lightning | Little Prince | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Barbarians | Bomber | Firecracker | Giant Skeleton | Goblin Barrel | Goblin Gang | Musketeer | The Log,1
07/03/2026 06:11,OmniPrince251,#Y2UYJ88JV,0,0,Clan #GLRR2Q8P,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Baby Dragon | Bats | Clone | Golem | Lumberjack | Night Witch | Skeleton Army,Dart Goblin | Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Knight | Princess | The Log,1
07/03/2026 06:06,alejandro,#LG90LGLUG,0,0,All4Bullets.,Vitoria,3,0,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Electro Spirit | Goblin Barrel | Goblin Drill | Goblin Hut | Ice Spirit | P.E.K.K.A | Vines,Fireball | Goblin Barrel | Goblin Drill | Graveyard | Inferno Tower | Rage | Rocket | Royal Delivery,1
07/03/2026 06:02,<c3>EDWING,#82JPV2CCY,0,0,MX,Vitoria,3,0,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Electro Spirit | Goblin Barrel | Goblin Drill | Goblin Hut | Ice Spirit | P.E.K.K.A | Vines,Fireball | Goblin Barrel | Goblin Drill | Inferno Tower | P.E.K.K.A | Rage | Rocket | Royal Delivery,1
07/03/2026 00:41,dz×Ghost,#YJ0GV0VQL,0,0,DZ HeRoEs,Vitoria,1,0,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Electro Spirit | Goblin Barrel | Goblin Drill | Goblin Hut | Ice Spirit | P.E.K.K.A | Vines,Dart Goblin | Furnace | Knight | Musketeer | Princess | Suspicious Bush | Tombstone | Vines,1
07/03/2026 00:35,⚔️☠️ÂĎÄM☠️⚔️,#2U9PPUR89,0,0,Morocco All ☆,Vitoria,1,0,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Electro Spirit | Flying Machine | Goblin Demolisher | Goblin Drill | Musketeer | P.E.K.K.A | Vines,Dart Goblin | Electro Spirit | Goblin Barrel | Knight | Princess | Rascals | The Log | Vines,1
