data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
08/03/2026 18:13,おめめパキパキスタン,#Y9U8GLCJ0,0,0,#Nocturnal#,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Goblin Barrel | Goblin Drill | Graveyard | P.E.K.K.A | Poison | Rocket | Vines,Barbarian Hut | Goblin Hut | Knight | Mortar | Rocket | The Log | Vines | Wizard,1
08/03/2026 18:11,gAndyg,#CYGPV909U,0,0,ATM31,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Goblin Barrel | Goblin Drill | Graveyard | P.E.K.K.A | Poison | Rocket | Vines,Goblin Hut | Mortar | Poison | Rocket | The Log | Tombstone | Vines | Wizard,1
08/03/2026 18:07,Yoda Live 01,#P2RLURQJU,0,0,Rei Da Guerra,Vitoria,3,0,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Goblin Barrel | Goblin Drill | Graveyard | P.E.K.K.A | Poison | Rocket | Vines,Dart Goblin | Electro Spirit | Goblin Hut | Ice Spirit | Mortar | Princess | Rocket | Wizard,1
08/03/2026 18:04,Maximus Dominus,#GYJQUP2Q,0,0,Neblina Sombria,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Goblin Barrel | Goblin Drill | Graveyard | P.E.K.K.A | Poison | Rocket | Vines,Goblin Hut | Graveyard | Ice Wizard | Knight | Poison | The Log | Vines | Witch,1
08/03/2026 17:15,@Erli_mattos,#9LV29JPC8,0,0,Sem cla,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Electro Spirit | Goblin Barrel | Goblin Demolisher | Goblin Drill | Graveyard | P.E.K.K.A | Vines,Electro Wizard | Goblin Hut | Mega Knight | Mortar | Musketeer | Night Witch | Tombstone | Zappies,1
08/03/2026 12:52,Reinaldo,#Y2J8R0GUQ,0,0,Amigos do Cana,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Balloon | Freeze | Mega Knight | Mirror | Musketeer | Sparky | Witch | Wizard,1
08/03/2026 12:45,OShen,#90CR0GYR,0,0,#UTB,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Electro Spirit | Furnace | Goblin Barrel | Goblin Demolisher | Goblin Drill | Graveyard | Vines,Baby Dragon | Dart Goblin | Goblin Demolisher | Golem | Poison | The Log | Vines | Witch,1
08/03/2026 00:13,STARDUST,#JYC0QYL0,0,0,超級閃電霹靂無敵部落,Vitoria,1,0,0,Crazy_Arena,trail,Legendary Arena,Berserker | Dart Goblin | Electro Spirit | Goblin Barrel | Goblin Demolisher | Goblin Drill | Vines | X-Bow,Dart Goblin | Electro Spirit | Goblin Barrel | Knight | Princess | Rascals | The Log | Vines,1
08/03/2026 00:10,Quwaider,#P8GU2CC8R,0,0,Beans on Toast,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Berserker | Dart Goblin | Electro Spirit | Goblin Barrel | Goblin Demolisher | Goblin Drill | Vines | X-Bow,Electro Wizard | Elixir Golem | Goblin Hut | Golem | Mortar | Musketeer | Rascals | X-Bow,1
08/03/2026 00:06,AdinQ,#92Y8Q8Y2,0,0,⭐Elita Team⭐,Vitoria,3,0,0,Crazy_Arena,trail,Legendary Arena,Berserker | Dart Goblin | Electro Spirit | Goblin Barrel | Goblin Demolisher | Goblin Drill | Vines | X-Bow,Electro Wizard | Goblin Demolisher | Goblin Hut | Ice Spirit | Mother Witch | Musketeer | The Log | Vines,1
08/03/2026 00:02,NRobert,#GLUCUCQ8,0,0,Les Petits Rats,Derrota,0,2,0,Crazy_Arena,trail,Legendary Arena,Dart Goblin | Electro Spirit | Goblin Barrel | Goblin Drill | Ice Spirit | P.E.K.K.A | Tombstone | Vines,Electro Spirit | Electro Wizard | Fireball | Goblin Barrel | Goblin Demolisher | Golem | Vines | X-Bow,1
