data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
11/03/2026 22:43,Gusty,#LP8G90UP,0,0,Highgate Massiv,Vitoria,1,0,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Berserker | Fireball | Goblin Hut | Mortar | Rocket | The Log | Vines | Wizard,1
11/03/2026 21:29,Amiral,#2PC0C8CV9,0,0,64 Uşak Efeler3,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Dart Goblin | Electro Wizard | Goblin Barrel | Goblin Demolisher | Goblin Hut | Golem | Night Witch | Vines,1
11/03/2026 21:22,Jam,#YJGJVP90,0,0,papis army UwU,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Berserker | Electro Wizard | Furnace | Giant Snowball | Goblin Barrel | P.E.K.K.A | Poison | The Log,1
11/03/2026 21:18,P A N D A 2,#RG9LR2UUC,0,0,BLUE lock,Vitoria,1,0,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Electro Spirit | Goblin Hut | Knight | Mortar | Rocket | The Log | Vines | Wizard,1
11/03/2026 21:04,SirMapache,#9GCQ8QUP,0,0,Mazatlan,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Barbarian Hut | Electro Spirit | Goblin Drill | Goblin Hut | Graveyard | Musketeer | The Log | Tombstone,1
11/03/2026 20:59,David,#CQGUYPLL9,0,0,Clan royal,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Barbarian Hut | Electro Spirit | Fireball | Furnace | Ice Spirit | Knight | The Log | X-Bow,1
11/03/2026 20:26,marlon263,#9UPJ08LPL,0,0,PERU UNITED,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Berserker | Electro Wizard | Furnace | Goblin Barrel | Royal Delivery | The Log | Tombstone | Vines,1
11/03/2026 20:01,Barte--24,#GU92LLQLQ,0,0,Spartoo,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Goblin Demolisher | Goblin Hut | Mortar | Rocket | Royal Delivery | The Log | Tombstone | Wizard,1
11/03/2026 19:55,JHULIOBRUCCE,#9RGPGUJLP,0,0,españa,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Baby Dragon | Furnace | Goblin Barrel | Goblin Demolisher | Golem | Poison | The Log | Witch,1
11/03/2026 19:43,maxi,#88QYPRP98,0,0,Azteca,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Furnace | Goblin Barrel | Goblin Demolisher | Goblin Hut | Golem | Knight | Poison | The Log,1
11/03/2026 19:24,ADWINXD,#GYUYCQYVV,0,0,SPT Evolution™,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Dart Goblin | Goblin Hut | Inferno Tower | Knight | Mortar | Poison | Rocket | Wizard,1
11/03/2026 19:14,Santosツ,#P9U9GYJ9V,0,0,FC Porto,Vitoria,1,0,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Baby Dragon | Berserker | Dart Goblin | Electro Wizard | Goblin Barrel | Golem | The Log | Vines,1
