data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
05/04/2026 22:24,hihi,#GRQGRGRC,0,0,100毛,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Dark Prince | Dart Goblin | Lightning | Minions | Prince | Royal Ghost | Royal Recruits,Arrows | Boss Bandit | Ice Golem | Lightning | Skeletons | Valkyrie | Witch | Zap,1
05/04/2026 22:19,︻デIbarra╤╾━,#9JV2R88RQ,0,0,Bellakitos Vip,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Giant Skeleton | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Battle Healer | Elixir Golem | Furnace | Magic Archer | Mirror | Night Witch | Witch,1
05/04/2026 22:15,Diego,#9QUJQQYL,0,0,Amigo o Calvo,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Giant Skeleton | Lightning | Minions | Royal Ghost | Royal Recruits,Bats | Goblin Gang | Mega Knight | Mega Minion | Miner | Skeleton Barrel | Spear Goblins | Zap,1
05/04/2026 22:08,ましゃる,#UPC0UYCRC,0,0,三茶界隈,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archers | Fire Spirit | Ice Spirit | Knight | Mortar | Rocket | Skeletons | The Log,Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Knight | Princess | Rocket | The Log,1
05/04/2026 22:05,MIHAIL _OLIVER⚽,#P2RG0C0J,0,0,43720,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Archers | Fire Spirit | Ice Spirit | Knight | Mortar | Rocket | Skeletons | The Log,1
05/04/2026 22:01,"""ÄŁ""BÃŚĤĀ""",#CLURJUJPG,0,0,Hot❤food,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Electro Giant | Magic Archer | Mini P.E.K.K.A | Sparky | Tornado | Valkyrie | Witch,1
05/04/2026 20:16,MetaSlave,#J99VUGR09,0,0,Sem cla,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Baby Dragon | Barbarian Barrel | Goblin Cage | Graveyard | Ice Wizard | Knight | Poison | Tornado,1
05/04/2026 20:10,強大的✨Gordiis,#8JYG9JY,0,0,Vika Clan Mex 2,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log,1
05/04/2026 20:06,comment ca va?,#GLL98UYLJ,0,0,La baguette,Vitoria,2,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Dart Goblin | Knight | Poison | Royal Delivery | Royal Hogs | Skeleton Army | The Log | Witch,1
05/04/2026 18:45,whisker biscuit,#9008Q9J9C,0,0,DAWG POUND,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Bomber | Goblin Gang | Hog Rider | Ram Rider | Valkyrie | Witch | Wizard,1
05/04/2026 18:41,<c5>Jambo,#9G0RJ2JY8,0,0,ИНИГ,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Barbarian Barrel | Dart Goblin | Elite Barbarians | Lightning | Minions | Royal Ghost | Royal Recruits,Electro Wizard | Executioner | Goblin Gang | Hog Rider | Mini P.E.K.K.A | Tesla | The Log | Valkyrie,1
