data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
03/02/2026 00:14,Psycho,#2YCJRVYGY,0,0,get beaned,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Archers | Arrows | Goblin Barrel | Goblins | Ice Golem | Lightning | Princess | Skeleton Army,1
02/02/2026 19:24,Jesa!♡,#V8JCCRUV0,0,0,The Sprigants,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Wizard | Firecracker | Goblin Barrel | Hog Rider | Mini P.E.K.K.A | Mirror | Valkyrie | Witch,1
02/02/2026 18:17,CB⚡️uMAD,#PVP9GPL0,0,0,Cr0wnBeasts,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Archers | Arrows | Giant | Goblins | Mega Knight | Mini P.E.K.K.A | Wizard | Zap,1
02/02/2026 14:19,gon,#8YJPQYQ,0,0,choco choco,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log,1
02/02/2026 12:44,Augusto,#GRQYGUJL,0,0,Sem cla,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Cannon | Executioner | Hog Rider | Ice Spirit | Lightning | Skeletons | Valkyrie,1
02/02/2026 12:26,xBleazyyx-_-btw,#2G82PY08,0,0,Alpenkommando 4,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Fireball | Goblin Barrel | Goblins | Mega Knight | Mini P.E.K.K.A | Musketeer | Witch,1
02/02/2026 10:35,WALTHER✝️❤️,#R9UC9YU20,0,0,Agromonos,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Spirit | Fireball | Furnace | Ice Golem | Ram Rider | Skeleton Barrel | The Log | Tombstone,1
02/02/2026 10:31,asrain,#82ULQGVU,0,0,Sem cla,Derrota,1,2,0,DraftMode_Princess,trail,Legendary Arena,Giant | Giant Skeleton | Goblins | Guards | Rocket | Royal Delivery | Royal Recruits | Skeleton Dragons,Electro Giant | Fisherman | Goblin Curse | Ice Golem | Night Witch | Phoenix | Poison | Prince,1
02/02/2026 03:38,joaquin,#U0C9QQ098,0,0,LOS PAPUS,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Electro Wizard | Fireball | Mega Knight | Mini P.E.K.K.A | Mirror | Sparky | Tesla,1
02/02/2026 03:08,cel,#PP98GCY0,0,0,M E R C U R Y,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Mega Knight | Minions | Wall Breakers,Dart Goblin | Goblin Gang | Knight | Princess | Rascals | Skeleton Barrel | The Log | Wall Breakers,1
02/02/2026 02:49,insano,#UQYCG20JV,0,0,FAMILIA DO GRAU,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Mega Knight | Minions | Wall Breakers,Arrows | Bats | Dart Goblin | Goblin Barrel | Mega Knight | P.E.K.K.A | Tombstone | Zap,1
02/02/2026 02:44,ENGLANDV1,#V8GURR0U8,0,0,Nova I Elite D,Derrota,1,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Balloon | Bats | Furnace | Goblin Cage | Lumberjack | Valkyrie | Vines,1
02/02/2026 02:39,mr fitz,#RGQJ2R9U,0,0,Divine Warriors,Derrota,1,2,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Balloon | Bandit | Clone | Lumberjack | Mega Knight | Minions | Skeleton Barrel | Wizard,1
02/02/2026 02:35,Tora,#9G9QCLRPG,0,0,Boozing Bandits,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Knight | Princess | Skeletons | The Log,1
02/02/2026 02:04,. ObitoUchiha,#9J2JRY8LJ,0,0,GLRK,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Boss Bandit | Electro Wizard | Mini P.E.K.K.A | Rage | Rascals | Royal Recruits | Witch,1
02/02/2026 02:01,Ecthelion325,#JP9QGRRGJ,0,0,FacuKps,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Barbarian Barrel | Battle Ram | Fireball | Heal Spirit | Hunter | Ice Golem | Royal Ghost | Three Musketeers,1
02/02/2026 01:51,Byfenix YT,#RUV2UUQQ,0,0,Hunter SV,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Giant Snowball | Goblin Drill | Ice Spirit | Royal Delivery | Skeletons | The Log,1
02/02/2026 01:47,aviv,#2LV80PGP,0,0,Tel-Aviv Sharks,Vitoria,3,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Goblin Barrel | Knight | Princess | Skeleton Army | Skeleton Barrel | The Log,1
02/02/2026 01:44,Motasm,#LCRURU9YY,0,0,Arctic Wolf,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Dart Goblin | Electro Spirit | Goblin Barrel | Rocket | Skeletons | The Log | Valkyrie,1
02/02/2026 01:37,<c6>Angelが,#JV2QCR02G,0,11506,Meta Marauders,Vitoria,1,0,0,CW_Battle_1v1,riverRacePvP,Summit of Heroes,Dart Goblin | Firecracker | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Bandit | Firecracker | Hunter | Mega Knight | Mighty Miner | Skeleton Barrel | Zap,1
02/02/2026 01:34,kodads1,#9J8U0RRUR,0,11305,ChileanPeppers,Vitoria,1,0,0,CW_Battle_1v1,riverRacePvP,Summit of Heroes,Barbarian Barrel | Goblin Cage | Goblinstein | Graveyard | Knight | Poison | Royal Delivery | Skeletons,Arrows | Giant Snowball | Hog Rider | Mini P.E.K.K.A | P.E.K.K.A | Skeletons | Tornado | Wizard,1
02/02/2026 00:30,caio,#20QGV09PG,0,0,BRASIL™,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bats | Giant | Magic Archer | Miner | Mini P.E.K.K.A | Skeletons | The Log | Zap,1
02/02/2026 00:26,Axel,#8JVRLG8PG,0,0,❤️GUATEMALA❤️,Vitoria,2,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Bomber | Hog Rider | Lumberjack | Mega Knight | Minions | Musketeer | Valkyrie,1
02/02/2026 00:22,Mr_Veljko,#YLLCP9QPQ,0,0,Sem cla,Derrota,1,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bandit | Electro Wizard | Goblin Barrel | Inferno Dragon | Mega Knight | Skeleton Army | Wizard | Zap,1
02/02/2026 00:17,xlord,#9U8JVYGL2,0,0,Swimming Banana,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log,1
01/02/2026 21:57,scurvy,#UC0RCQY9G,0,0,Team Savage,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Hog Rider | Inferno Dragon | Lightning | Mega Knight | Mini P.E.K.K.A | Tesla | Wizard,1
01/02/2026 17:29,juanjesus,#QCRUCUGGL,0,10825,saltillo2,Vitoria,1,0,0,CW_Battle_1v1,riverRacePvP,Summit of Heroes,Balloon | Fireball | Golden Knight | Lumberjack | Mega Knight | Princess | Witch | Wizard,Archers | Arrows | Dart Goblin | Guards | Lumberjack | Mega Knight | Mini P.E.K.K.A | Ram Rider,1
01/02/2026 16:43,ROGO 0012,#LGRG9VJG,0,11310,Descuerete,Derrota,0,3,0,CW_Battle_1v1,riverRacePvP,Summit of Heroes,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Baby Dragon | Electro Wizard | Elite Barbarians | Mega Knight | Musketeer | Princess | The Log | Witch,1
01/02/2026 16:21,Twitch_PedriGmz,#Y8CJ2CV8,0,0,50maniacos,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bandit | Boss Bandit | Goblin Curse | Mega Knight | Mini P.E.K.K.A | Skeleton Army | Skeletons | Valkyrie,1
01/02/2026 03:02,Dxuhi,#80GCU0RVV,0,0,A.S.O Royale,Derrota,0,2,0,Showdown_Friendly,trail,Legendary Arena,Arrows | Baby Dragon | Bats | Clone | Golem | Lumberjack | Night Witch | Skeleton Army,Barbarian Barrel | Electro Spirit | Fireball | Fisherman | Hunter | Royal Ghost | Royal Giant | Skeletons,1
01/02/2026 02:55,虫の息,#92GQPG2CC,0,0,Amusing ★ Gang,Vitoria,3,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Dark Prince | Giant | Mini P.E.K.K.A | Mother Witch | Skeleton Barrel | Sparky | Tesla | Witch,1
01/02/2026 02:52,Шарип,#22VVP90J8,0,0,! Shock !,Derrota,1,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bandit | Electro Wizard | Hog Rider | Monk | P.E.K.K.A | The Log | Vines | Wizard,1
