data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
01/01/2026 06:39,Brineth,#PQQ00CCG0,0,11368,Akatski,Vitoria,1,0,28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Balloon | Freeze | Inferno Dragon | Lumberjack | Magic Archer | Mega Knight | Skeleton Army | Wizard,1
01/01/2026 00:44,Jaco84,#2CL200JJ9,0,10497,TEAM MÉXICO 3,Derrota,0,3,0,7xElixir_Ladder,riverRacePvP,Musketeer Street,Firecracker | Goblin Demolisher | Goblin Hut | Golden Knight | Golem | Mega Knight | Princess | Witch,Baby Dragon | Battle Healer | Bomber | Furnace | Goblin Demolisher | Mega Knight | Poison | Royal Hogs,1
01/01/2026 00:39,Infełło☣,#9QVGYVLV,0,0,Shadow Fighters,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Battle Ram | Bomb Tower | Furnace | Goblin Drill | Princess | Royal Recruits | Skeleton Dragons | Spear Goblins,1
01/01/2026 00:38,ClashGodNolan,#Y2Q0CQV9V,0,0,L.A. Leviathans,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Cannon | Dart Goblin | Knight | Skeleton Barrel | Skeletons | Spear Goblins | Suspicious Bush | The Log,1
01/01/2026 00:35,ƈƦāʑƳѲƞ,#9090LGR0,0,0,TOP BRASIL 2.0,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Baby Dragon | Barbarian Barrel | Elixir Collector | Elixir Golem | Knight | Mini P.E.K.K.A | Vines | Witch,1
01/01/2026 00:03,kevinbaba,#209G8Y9QC,0,0,Ohio,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Barbarian Barrel | Goblin Hut | Graveyard | Knight | Poison | Valkyrie | Vines | Witch,1
01/01/2026 00:00,bonobun,#9UVQ0G28R,0,0,Brudis United,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Archer Queen | Arrows | Dark Prince | Giant | Giant Snowball | Graveyard | Minions | Skeleton Army,1
31/12/2025 23:58,silvestre,#YQV8VUVYL,0,0,PEAKYS MEX,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Bomb Tower | Knight | Magic Archer | Miner | Spear Goblins | The Log | Tornado | Wall Breakers,1
31/12/2025 23:43,Gaunerkrebs,#28V9JPQPV,0,0,Goofy ahh,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Arrows | Clone | Fireball | Giant Snowball | Rage | Royal Delivery | The Log | Zap,1
31/12/2025 23:37,dctheboss_cr,#9UJG0JCV,0,0,1 Min Warriors,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Dart Goblin | Goblin Gang | Royal Ghost | Royal Recruits | Skeleton Barrel | Suspicious Bush | The Log,1
31/12/2025 23:33,<c2>Na<c3>nz,#2GRCQGP02,0,0,CALGARY 2.0,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mortar | Musketeer | Royal Recruits,Arrows | Balloon | Flying Machine | Goblin Cage | Heal Spirit | Lightning | Royal Recruits | Zappies,1
31/12/2025 23:30,<c5>Nata,#GVVR9RQJY,0,0,⚜️ShinyHunters⚜,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mortar | Musketeer | Royal Recruits,Bats | Dart Goblin | Fireball | Giant Snowball | Knight | Mortar | P.E.K.K.A | Rascals,1
31/12/2025 23:28,UgOw,#PG98GRC8,0,0,IBARA,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | X-Bow,Barbarian Barrel | Ice Spirit | Lumberjack | Poison | Princess | Ram Rider | Valkyrie | Void,1
