data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
13/02/2026 03:22,Katakuri,#GJRLUCYG,0,0,Adictos alNoPor,Derrota,0,3,0,Touchdown_Event,trail,Touchdown Arena,Berserker | Cannon | Dart Goblin | Fire Spirit | Goblin Barrel | Ice Spirit | Skeleton Army | The Log,Arrows | Dark Prince | Dart Goblin | Goblins | Lightning | Royal Recruits | Spirit Empress | Witch,1
13/02/2026 01:34,Daveheart,#998GCVCC,0,0,Sem cla,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Clone | Firecracker | Giant Skeleton | Night Witch | Skeleton Barrel | Skeleton King | Spirit Empress | Tombstone,1
13/02/2026 01:31,Thiago,#P8PQJ2PR9,0,0,amigos royale2,Vitoria,3,2,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Bandit | Bats | Dart Goblin | Firecracker | Goblin Gang | Hog Rider | Mega Knight,1
13/02/2026 01:28,Westley,#2RURRGVGQ,0,0,Bichubase,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Electro Spirit | Fireball | Firecracker | Hog Rider | Mega Knight | Skeletons | Tesla | The Log,1
13/02/2026 01:26,ジュリアン,#UQ2YJR9R0,0,0,TheMenInShadows,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Battle Ram | Dart Goblin | Goblin Curse | Golden Knight | Mega Knight | Mini P.E.K.K.A | Skeleton Army | Witch,1
13/02/2026 01:21,Patty mac,#JUQP9YCC,0,0,OZ-PIPELINE,Vitoria,3,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Berserker | Boss Bandit | Dart Goblin | Electro Wizard | Furnace | Mega Knight | Vines | Zap,1
12/02/2026 01:50,cam,#8CUU8JPUP,0,0,BC Canada Camp,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Bats | Elixir Collector | Firecracker | Golem | Guards | Prince | Rage | Valkyrie,1
12/02/2026 01:34,JOTICA 么,#PJVC80P08,0,0,COLOMBIANCREED,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Bats | Battle Ram | Bomber | Fireball | Little Prince | P.E.K.K.A | Royal Ghost | Zap,1
12/02/2026 01:10,☠DAGERSIN☠,#2Q080CY8J,0,0,Sem cla,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Clone | Furnace | Golem | Mini P.E.K.K.A | Poison | Tombstone | Witch,1
12/02/2026 01:04,ahian :),#Q29PG28C9,0,0,CROWN REAPERS,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Cannon | Goblin Gang | Hog Rider | Ice Golem | Ice Spirit | The Log | Valkyrie | Witch,1
12/02/2026 01:00,I3>C5>E,#8VCVQ0CU0,0,0,EGY*PRO*,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Berserker | Executioner | Giant Snowball | Goblin Drill | Golden Knight | Skeletons | Tesla | The Log,1
11/02/2026 16:30,R.GOAT‼️,#UPL08800V,0,0,犯罪一家,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Electro Spirit | Fireball | Fisherman | Goblins | Hunter | Royal Ghost | Royal Giant | The Log,1
11/02/2026 16:26,~•••wilda♡♡♡♡,#8UG8QY29,0,0,lombok030,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Goblin Hut | Lightning | Mega Knight | Minion Horde | Spear Goblins | Valkyrie | Witch,1
11/02/2026 16:22,CHANTA,#P99QYLC,0,0,los Ecuatoriano,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Barbarian Barrel | Clone | Dart Goblin | Giant Skeleton | Skeleton Army | Skeleton Barrel | Witch,1
11/02/2026 16:19,deimon targaria,#28YLYCR,0,0,Vaijel,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Elixir Golem | Fireball | Guards | Mega Knight | Skeleton Army | Witch | Wizard,1
10/02/2026 23:38,GARCIA✨,#9C8QGPPG0,0,0,Elite army 2.0,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Battle Ram | Giant Skeleton | Guards | Mini P.E.K.K.A | Minions | Vines | Wizard | Zap,1
10/02/2026 23:35,xool,#YJQL2L9V,0,0,Kids United LLC,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Arrows | Bowler | Giant | Giant Snowball | Graveyard | Mini P.E.K.K.A | Minions | Witch,1
10/02/2026 13:12,lemurmuñoz,#U8GJRL98G,0,0,La Urba FC,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Barbarians | Executioner | Hog Rider | Minion Horde | Rage | Tesla | The Log | Valkyrie,1
10/02/2026 03:01,¡KAKAROTO! :),#UPP299LY9,0,0,DriverFamily,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Cannon | Giant Snowball | Ice Spirit | Knight | Little Prince | Rocket | Royal Delivery | Skeletons,1
09/02/2026 01:34,dammh1,#Y8UQCP88,0,0,Die Arbeiter,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits,Barbarian Barrel | Electro Spirit | Goblin Hut | Goblins | Lightning | Royal Ghost | Royal Hogs | Wizard,1
