data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
24/02/2026 13:29,Adam.H,#2PLGJL02,0,0,Bluey Elites,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Mini P.E.K.K.A | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Knight | Princess | Rocket | The Log,1
24/02/2026 01:39,Kelvin Krisna,#8RYPRPRJ2,0,0,Balad Karawang,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Mini P.E.K.K.A | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Balloon | Battle Healer | Boss Bandit | Rage | Royal Giant | Skeleton Army | Valkyrie | Witch,1
24/02/2026 01:36,☢︎︎シHUESOS☢︎︎☭,#LG9VG0C8V,0,0,Warriors Gaming,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Mini P.E.K.K.A | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Barbarian Barrel | Fireball | Knight | Mortar | Musketeer | Royal Delivery | Skeleton Barrel | Spear Goblins,1
24/02/2026 01:32,omar,#2VQQLYQYQ,0,0,Antafrica,Derrota,0,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Baby Dragon | Bats | Ice Spirit | Knight | Lightning | Mega Knight | Sparky,1
24/02/2026 01:28,Redyy,#8GPGRVP,0,0,A6elGS.F,Derrota,1,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Firecracker | Guards | Hog Rider | Inferno Dragon | Mega Knight | Mini P.E.K.K.A | Rage | Zap,1
24/02/2026 01:24,"<c6>,‘3",#UUR2GC0RV,0,0,Eagle Gaming,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Berserker | Boss Bandit | Dart Goblin | Furnace | Goblin Hut | Goblins | The Log | Wall Breakers,1
24/02/2026 01:21,PhatKokk55,#8C09Y0URY,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Fireball | Monk | P.E.K.K.A | Skeleton Army | Tesla | The Log | Wizard | Zap,1
24/02/2026 01:17,楊腦野,#28YQRQCU2,0,0,萬萬沒想到,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Archers | Arrows | Dark Prince | Electro Dragon | Firecracker | Knight | Mega Knight | Mighty Miner,1
24/02/2026 01:11,Diego Padilla,#Q0LCPRPYY,0,0,ColeGangs,Derrota,0,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Battle Ram | Inferno Dragon | Mini P.E.K.K.A | Prince | The Log | Witch | Wizard | Zap,1
24/02/2026 01:07,sneakyCui,#C9V00CYCJ,0,0,Clash Bash,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Earthquake | Firecracker | Hog Rider | Ice Spirit | Knight | Skeletons | Tesla | The Log,1
24/02/2026 00:57,Xerxus,#9P20Y0C9U,0,0,HermesGang,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Fireball | Goblin Cage | Goblins | Lava Hound | Mega Minion | Spirit Empress | Valkyrie | Zap,1
23/02/2026 02:34,ale§x,#UJJRQ8CG0,0,0,Darkmans,Vitoria,3,0,1,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Electro Giant | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Archers | Electro Spirit | Fireball | Knight | Skeletons | Tesla | The Log | X-Bow,1
23/02/2026 02:30,dangernick,#PYYRG9CQ9,0,0,Creet's Creed,Derrota,0,1,0,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Goblins | Lightning | Mega Minion | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Barbarian Barrel | Fireball | Flying Machine | Goblin Cage | Royal Hogs | Royal Recruits | Zappies,1
23/02/2026 02:24,Sargento,#VRY2YG92,0,0,STATIC ROOM,Vitoria,3,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Cannon | Fire Spirit | Furnace | Giant Snowball | Goblin Drill | Knight | Poison | Skeletons,1
