data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
02/03/2026 12:09,giek3057,#Y2JU2L2RU,0,0,SENZA GEMME,Vitoria,3,0,0,TeamVsTeam,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Barbarians | Clone | Goblin Gang | Goblins | Minion Horde | Mirror | Royal Ghost | Skeleton Army,1
02/03/2026 11:41,Sawzi,#PRQ9208CR,0,12224,ATRA,Vitoria,1,0,28,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Boss Bandit | Cannon Cart | Furnace | Guards | Mortar | Mother Witch | Tornado | Vines,1
02/03/2026 11:24,BARCA,#CJ0JPYRUP,0,12180,mad scots,Vitoria,1,0,27,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Fireball | Firecracker | Goblin Barrel | Mega Knight | Mini P.E.K.K.A | Skeleton Army | The Log | Witch,1
02/03/2026 11:19,eiskid,#YYLVL800L,0,12204,CR Fighters,Vitoria,2,0,32,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Spirit | Fisherman | Hunter | Lightning | Mini P.E.K.K.A | Royal Giant | Skeletons | The Log,1
02/03/2026 02:54,sebi,#R9LRUQVJY,0,12126,Asgard Warriors,Vitoria,1,0,27,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Baby Dragon | Bats | Goblin Barrel | Mega Knight | Skeleton Army | Valkyrie | Wizard | Zap,1
02/03/2026 02:50,maike,#9RQ02UP8,0,12180,Sem cla,Derrota,0,1,-30,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Elite Barbarians | Giant | Mega Minion | Night Witch | Poison | Princess | Witch | Zap,1
02/03/2026 02:46,vengador 2,#8PPGLG9UR,0,1,...,Derrota,1,2,0,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Goblin Gang | Hog Rider | Ice Golem | Knight | Lightning | Minions | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Dart Goblin | Fireball | Goblins | Knight | Minions | Mortar | Skeleton Barrel,1
02/03/2026 02:42,King Xerxes,#QGC908YGP,0,1,50 ronins,Derrota,0,1,0,Challenge_AllCards_EventDeck_NoSet,trail,Legendary Arena,Electro Giant | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Furnace | Ice Golem | Mega Minion | Minion Horde | Mortar | Rocket | Royal Delivery | Royal Ghost,1
02/03/2026 00:58,Gui-Esteves,#2J0G2V89L,0,12151,CLAN MORT,Vitoria,2,1,30,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Goblin Barrel | Goblin Gang | Hog Rider | Inferno Tower | Princess | Rocket | Skeleton Army | The Log,1
02/03/2026 00:54,thewalter95,#UJCGJL92G,0,12107,(ECU) Clash's 4,Vitoria,3,0,28,Ladder,PvP,Magic Academy,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Baby Dragon | Electro Spirit | Fireball | Mega Knight | Musketeer | Skeletons | Valkyrie,1
02/03/2026 00:50,RicWin,#LPPPVPCGU,0,0,JALISCO,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Mega Knight | Skeleton Army | Skeleton Dragons | Sparky | Valkyrie | Wizard | Zap,1
02/03/2026 00:39,♤BodBod♤,#2099Y0PLV,0,0,EGYPT,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Archers | Baby Dragon | Electro Dragon | Goblin Gang | Golem | Knight | Miner | Night Witch,1
02/03/2026 00:35,demoledor22,#Y99Y2G08,0,0,AVANZADA,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Firecracker | Flying Machine | Furnace | Giant Skeleton | Goblin Barrel | Mortar | Skeleton Army,1
02/03/2026 00:31,URUGUAYO,#202LJ8908R,0,0,ARGENTINA LE,Derrota,1,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Firecracker | Goblin Gang | Goblins | Lightning | Minions | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Bats | Fireball | Mega Knight | Mini P.E.K.K.A | The Log | Witch | Zap,1
